4102: 4102-2022-06-19_Fete_alpestre_Lac_Noir_-_Bergschwinget_Schwarzsee-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Gnägi Florian;***;10.0
1;1b;Kessler Joel;*;10.0
1;1c;Berger Lorenz;**;10.0
1;1d;Schwander Severin;**;10.0
1;1e;Sturny Nicolas;**;10.0
1;1f;Lüthi David;*;10.0
1;1g;Sommer Roman;*;10.0
1;1h;Gapany Benjamin;***;10.0
1;1i;Bissig Lukas;*;10.0
1;1j;Sempach Thomas;***;10.0
1;1k;Thomet Adrian;**;10.0
1;1l;Haenni Stéphane;**;10.0
1;1m;Moser Michael (2005);*;10.0
1;1n;Arnold Marcel;*;10.0
1;1o;Burger Matthieu;**;10.0
1;1p;Schenk Patrick;***;10.0
1;1q;Thöni Reto;*;10.0
1;2a;Borcard Johann;**;9.75
1;2b;Kramer Lario;***;9.75
1;2c;Omlin Toni;*;9.75
1;2d;Schär Alex;*;9.75
1;2e;Suter Beat;*;9.75
1;2f;Kropf Thomas;**;9.75
1;2g;Luginbühl Hanspeter;**;9.75
1;2h;Duplan Steve;***;9.75
1;2i;Kenel Franz-Toni;*;9.75
1;2j;Schenk Thomas;*;9.75
1;2k;Schürpf Bruno;*;9.75
1;2l;Aebersold Fabian;*;9.75
1;2m;Orlik Curdin;***;9.75
1;2n;Baeriswyl Christoph;**;9.75
1;2o;Tschumi Lukas;*;9.75
1;2p;Staudenmann Fabian;***;9.75
1;2q;von Weissenfluh Kilian;***;9.75
1;2r;Gäumann Stefan;**;9.75
1;3a;Wicki Joel;***;9.0
1;4a;Burch Jonas;**;8.75
1;4b;Odermatt Christian;**;8.75
1;4c;Ledermann Michael;**;8.75
1;4d;Roth Dominik;**;8.75
1;4e;Wittwer Jan;**;8.75
1;4f;Balimann Sandro;*;8.75
1;4g;Fankhauser Hans;*;8.75
1;4h;Effinger Markus;*;8.75
1;4i;Suppiger Werner;**;8.75
1;4j;Inniger Thomas;***;8.75
1;4k;Moser Steven;**;8.75
1;4l;Rohrer Ueli;**;8.75
1;4m;Baumann Roger;*;8.75
1;4n;Anderegg Simon;***;8.75
1;4o;Rogivue Théo;*;8.75
1;4p;Dubey Gaël;*;8.75
