4186: 4186-2018-07-08_Rigi-Schwinget-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Schuler Alex;***;10.0
1;1b;Fankhauser Reto;**;10.0
1;1c;Müller Michael;**;10.0
1;1d;Rohrer Ivan;**;10.0
1;1e;Fankhauser Marco;**;10.0
1;1f;Huber Alex;*;10.0
1;1g;Gander Adrian;*;10.0
1;1h;Thalmann Thomas;*;10.0
1;1i;Kurmann Toni;*;10.0
1;1j;Dändliker Shane;**;10.0
1;1k;Ettlin Stefan;*;10.0
1;1l;Odermatt Remo;*;10.0
1;1m;Muff Armin;**;10.0
1;1n;Kälin Roland;**;10.0
1;2a;Lang Sven;*;9.75
1;2b;Zimmermann Martin;**;9.75
1;2c;Wicki Joel;**;9.75
1;2d;Schneider Domenic;***;9.75
1;2e;Poltera Andrin;*;9.75
1;2f;Fankhauser Erich;***;9.75
1;2g;Ulrich Andreas;***;9.75
1;2h;Linggi Bruno;**;9.75
1;2i;Waser Dominik;**;9.75
1;2j;Fuster Sepp;*;9.75
1;2k;Arnold Stefan;**;9.75
1;2l;Ambühl Joel;**;9.75
1;2m;Nötzli Reto;***;9.75
1;2n;Portmann Josef;*;9.75
1;2o;Koch Reto;*;9.75
1;3a;Odermatt Christian;**;9.0
1;3b;Schuler Philipp;**;9.0
1;4a;Kuster Thomas;*;8.75
1;4b;Hurschler Thomas;**;8.75
1;4c;Bieri Marcel;**;8.75
1;4d;Binggeli Stefan;**;8.75
1;4e;Schmid Simon (2000);*;8.75
1;4f;Odermatt Andreas;*;8.75
1;4g;Krähenbühl Lukas;*;8.75
1;4h;Schmidiger Marco;*;8.75
1;4i;Schelbert Ralf;**;8.75
1;4j;Schäppi Urs;*;8.75
1;4k;Murer Andy;**;8.75
1;4l;Moos Christoph;*;8.75
1;4m;Fessler Linus;**;8.75
1;4n;Geisser Lars;**;8.75
1;4o;Inderbitzin Daniel;*;8.75
1;4p;Imhof Andi;***;8.75
1;4q;Schneider Mario;**;8.75
1;4r;Baumann Roger;*;8.75
1;4s;Gwerder Guido;**;8.75
1;4t;Heinzer Ronny;*;8.75
1;4u;Reichmuth Armin;*;8.75
1;4v;Eugster Ruedi;**;8.75
1;4w;Hirsiger Alexander;*;8.75
1;4x;Schnurrenberger Roman;**;8.75
1;4y;Bösch Daniel;***;8.75
1;4z;Bernold Christian;**;8.75
1;4z1;Rychen Roger;***;8.75
1;4z2;Herger Matthias;**;8.75
1;4z3;Koch Thomas;*;8.75
1;4z4;Leuppi Samir;**;8.75
1;4z5;Ott Damian (2000);**;8.75
1;4z6;Gloggner Philipp;***;8.75
1;4z7;Gwerder Andreas;**;8.75
1;5a;Ulrich Marco;*;8.5
1;5b;Zimmermann Daniel;*;8.5
1;5c;Fellmann Roman;**;8.5
1;5d;Kessler Joel;*;8.5
1;5e;Rhyner Michael;**;8.5
1;5f;Rüegg Fabian;*;8.5
1;5g;Arztmann Beda;*;8.5
1;5h;Baumann Rico;*;8.5
1;5i;Schmid Patrick;*;8.5
1;5j;Heiniger Marco;*;8.5
1;5k;Kenel Franz-Toni;*;8.5
1;5l;Burkhalter Stefan;***;8.5
1;5m;Schmid Dominik;**;8.5
1;5n;Betschart Marcel;*;8.5
1;5o;Roth Martin;**;8.5
1;5p;Orlik Armon;***;8.5
1;5q;Fassbind René;*;8.5
1;5r;Jöhl Christian;*;8.5
1;5s;Notz Beni;***;8.5
1;5t;Heinzer Stefan;**;8.5
1;5u;Steiner Michael;**;8.5
1;5v;Bühler Hannes;*;8.5
1;5w;Müllestein Mike;***;8.5
1;5x;Giger Urs;*;8.5
1;5y;Krähenbühl Tobias;***;8.5
1;5z;Oettli Marco;*;8.5
2;1a;Fankhauser Marco;**;20.0
2;2a;Schuler Alex;***;19.75
2;2b;Ulrich Andreas;***;19.75
