3727: 3727-2017-06-04_Fete_Cantonale_Fribourgeoise-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Colò Kilian (1999);;10.0
1;1b;Kramer Lario;**;10.0
1;1c;Guisolan Marc;**;10.0
1;1d;Lützelschwab Luc (1999);;10.0
1;1e;Liardon Kevin;;10.0
1;1f;Zingrich Jan (1999);;10.0
1;1g;Crausaz Simon;;10.0
1;1h;Gauch Thierry;;10.0
1;1i;Hofer Sven;;10.0
1;1j;Gottofrey Luc;;10.0
1;1k;Turrian Mathias;;10.0
1;1l;Gottofrey Marc;**;10.0
1;1m;Taillard Virgile;;10.0
1;1n;Berset Julien;*;10.0
1;1o;Von Niederhäusern Martin;;10.0
1;1p;Aeschbacher Matthias;**;10.0
1;1q;Dousse Michel;**;10.0
1;1r;Vonlanthen Alexandre;;10.0
1;1s;Riedo Fredy;;10.0
1;1t;Pellet Adrian;;10.0
1;1u;Wieland Janis;;10.0
1;1v;Cardinaux Victor;**;10.0
1;1w;Giroud Jonathan;**;10.0
1;1x;Derron Cédric;*;10.0
1;2a;Crettaz Olivier;;9.75
1;2b;Aladenise Jonathan;;9.75
1;2c;Vaucher Rémy (1999);;9.75
1;2d;Steiner Pirmin;;9.75
1;2e;Bersier Jean-Jacques;*;9.75
1;2f;Dind Samuel;**;9.75
1;2g;Pürro Tobias;;9.75
1;2h;Mosimann Vincent;*;9.75
1;2i;Buchs Carlo;;9.75
1;2j;Ganière William;;9.75
1;2k;Curty Alexandre;;9.75
1;2l;Portmann Fabio;;9.75
1;2m;Gassmann Simon;*;9.75
1;2n;Bel Yannick (2001);;9.75
1;2o;Wieland Micha;;9.75
1;2p;Ducry Antoine;*;9.75
1;2q;Kramer Dorian (1999);;9.75
1;2r;Dind Clément;;9.75
1;2s;Ledermann Michael (2000);;9.75
1;2t;Matthey Mickaël;**;9.75
1;3a;Borcard Johann;**;9.0
1;4a;Beliakov Alexandre;;8.75
1;4b;Brodard Simon;**;8.75
1;4c;Sommer Roman;*;8.75
1;4d;Loup Alexandre;*;8.75
1;4e;Derron Julien;;8.75
1;4f;Barras François;*;8.75
1;4g;Schwab Marc;;8.75
1;4h;Haenni Stéphane;**;8.75
1;4i;Rapin Florent;;8.75
1;4j;Zimmermann Mario;*;8.75
1;4k;Gross Florian;*;8.75
1;4l;Roth Dominik;**;8.75
1;4m;Minder Florian;;8.75
1;4n;Roch Vincent;**;8.75
1;4o;Cotting Florian;;8.75
1;4p;Moser Steven;**;8.75
1;4q;Fuchs Yannick;;8.75
1;4r;Cotting Alexandre;;8.75
1;4s;Buchs Julien (1999);;8.75
1;5a;Kyburz Silas;;8.5
1;5b;Monney Branighan;;8.5
1;5c;Defferrard Baptiste (2000);;8.5
1;5d;Emonet Fabien;**;8.5
1;5e;Charrière Simon (2000);;8.5
1;5f;Roth Simon (2000);;8.5
1;5g;Piemontesi Pascal;**;8.5
1;5h;Loup Grégoire (2000);;8.5
1;5i;Hochuli Samuel;;8.5
1;5j;Blanchette Nicolas;;8.5
1;5k;Lerch Jimmy;*;8.5
1;5l;Maridor Loïc;;8.5
1;5m;Baume Oscar;;8.5
1;5n;Grossenbacher Marc (2000);;8.5
1;5o;Cottier Marco (2000);;8.5
1;5p;Dubey Gaël;;8.5
1;5q;Chofflon Anthony;;8.5
1;5r;Glauser Thomas;**;8.5
1;5s;Schöpfer Dio;**;8.5
1;5t;Golliard Steve;;8.5
1;5u;Gétaz Antoine (1999);;8.5
1;5v;Zarai Mouadh;;8.5
1;5w;Brodard Augustin;**;8.5
1;5x;Tchedre Abdourahaman;;8.5
1;5y;Brasey Cédric;**;8.5
1;5z;Emonet Frédéric;*;8.5
1;5z1;Goy Sébastien;;8.5
1;5z2;Torche Bastian;;8.5
1;5z3;Burri Gottfried (2001);;8.5
1;5z4;Hayoz Quentin;;8.5
1;5z5;Kern Kilian (2001);;8.5
1;5z6;Berset Cyril;*;8.5
1;5z7;Pittet Guillaume;;8.5
1;5z8;Barras André;*;8.5
1;5z9;Ducrest Etienne;*;8.5
1;5z10;Heiniger Mickaël;;8.5
1;5z11;Buchs Remo (1999);;8.5
1;5z12;Pürro David (2001);;8.5
1;5z13;Schafer Damien;*;8.5
1;5z14;Schenk Patrick;***;8.5
1;5z15;Vaucher Rémy (2000);;8.5
1;5z16;Roth Robin (2000);*;8.5
1;5z17;Quiot Didier;;8.5
2;1a;Guisolan Marc;**;20.0
2;2a;Gottofrey Luc;;19.75
2;2b;Buchs Carlo;;19.75
2;2c;Aeschbacher Matthias;**;19.75
2;3a;Crettaz Olivier;;19.5
2;3b;Steiner Pirmin;;19.5
2;3c;Bersier Jean-Jacques;*;19.5
2;3d;Curty Alexandre;;19.5
2;3e;Portmann Fabio;;19.5
2;4a;Kramer Lario;**;19.0
2;5a;Colò Kilian (1999);;18.75
2;5b;Brodard Simon;**;18.75
2;5c;Loup Alexandre;*;18.75
2;5d;Haenni Stéphane;**;18.75
2;5e;Rapin Florent;;18.75
2;5f;Zimmermann Mario;*;18.75
2;5g;Borcard Johann;**;18.75
2;5h;Berset Julien;*;18.75
2;5i;Gassmann Simon;*;18.75
2;5j;Roth Dominik;**;18.75
2;5k;Minder Florian;;18.75
2;5l;Roch Vincent;**;18.75
2;5m;Moser Steven;**;18.75
2;5n;Cardinaux Victor;**;18.75
2;5o;Derron Cédric;*;18.75
2;5p;Matthey Mickaël;**;18.75
2;6a;Beliakov Alexandre;;18.5
2;6b;Sommer Roman;*;18.5
2;6c;Lützelschwab Luc (1999);;18.5
2;6d;Liardon Kevin;;18.5
2;6e;Charrière Simon (2000);;18.5
2;6f;Zingrich Jan (1999);;18.5
2;6g;Crausaz Simon;;18.5
2;6h;Piemontesi Pascal;**;18.5
