1500: 1500-2015-08-16_16_Schwaegalp-Schwinget-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Röthlisberger Simon;*;10.0
1;1b;Rhyner Michael;**;10.0
1;1c;Roth Dominik;*;10.0
1;1d;Mathys Simon;*;10.0
1;1e;Geisser Lars;*;10.0
1;1f;Moser Steven;**;10.0
1;1g;Bösch Daniel;***;10.0
1;1h;Steiner Michael;**;10.0
1;1i;Sprecher Sandro;*;10.0
1;1j;Rychen Roger;**;10.0
1;1k;Fässler Andreas;**;10.0
1;1l;Schenk Patrick;**;10.0
1;1m;Gerber Christian;**;10.0
1;2a;Kuster Marcel;**;9.75
1;2b;Gnägi Florian;***;9.75
1;2c;Schneider Domenic;**;9.75
1;2d;Häni William;**;9.75
1;2e;Giger Samuel (1998);**;9.75
1;2f;Peng Mike;***;9.75
1;2g;Gmür Pirmin;*;9.75
1;2h;Riget Tobias;**;9.75
1;2i;Schneider Mario;**;9.75
1;2j;Zaugg Thomas;***;9.75
1;2k;Fejzaj Naim;*;9.75
1;2l;Eugster Ruedi;**;9.75
1;2m;Anderegg Simon;***;9.75
1;2n;Zbinden Marc;*;9.75
1;2o;Schläpfer Markus;**;9.75
1;2p;Stucki Christian;***;9.75
1;2q;Scherer Christian;*;9.75
1;2r;Gwerder Andreas;**;9.75
1;3a;Bösch Roman;**;9.0
1;3b;Bernold Christian;*;9.0
1;3c;Vollenweider Jeremy (1998);*;9.0
1;3d;Inauen Franz;*;9.0
1;4a;Borcard Johann;**;8.75
1;4b;Nigg Lukas;**;8.75
1;4c;Vestner Bruno;*;8.75
1;4d;Wey Nicola;*;8.75
1;4e;Käser Remo;**;8.75
1;4f;Zenger Niklaus;***;8.75
1;4g;Lengacher Jonas;**;8.75
1;4h;Streuli Martin;*;8.75
1;4i;Baumann Rico;*;8.75
1;4j;Holenstein Christian;*;8.75
1;4k;Glarner Matthias;***;8.75
1;4l;Nägeli Marco;*;8.75
1;4m;Schlegel Reto (1997);*;8.75
1;4n;Rüegg Roman;*;8.75
1;4o;Roth Martin;*;8.75
1;4p;Orlik Armon;**;8.75
1;4q;Vögeli Sven;*;8.75
1;4r;Notz Beni;***;8.75
1;4s;Battaglia Ursin;**;8.75
1;4t;Schmid Reto;**;8.75
1;4u;Orlik Curdin;**;8.75
1;4v;Leuppi Samir;**;8.75
1;4w;Krähenbühl Tobias;**;8.75
1;4x;Büsser Andy;***;8.75
1;5a;Duplan Steve (1997);**;8.5
1;5b;Forrer Arnold;***;8.5
1;5c;Korrodi Paul;*;8.5
1;5d;Bloch Dominic;**;8.5
1;5e;Hersche Martin;**;8.5
1;5f;Horner Peter;**;8.5
1;5g;Vestner Roman;*;8.5
1;5h;Aeschbacher Matthias;**;8.5
1;5i;Brodard Augustin;**;8.5
1;5j;Roch Vincent;*;8.5
1;5k;Oertig Dominik;*;8.5
1;5l;Rolli Martin;**;8.5
1;5m;Gapany Benjamin;**;8.5
1;5n;Bühler Ernst;**;8.5
1;5o;Burkhalter Stefan;***;8.5
1;5p;Schmid Dominik;**;8.5
1;5q;Brügger Stefan;*;8.5
1;5r;Kindlimann Fabian;***;8.5
1;5s;Meier Remo;**;8.5
1;5t;Näf Willi;*;8.5
1;5u;Jöhl Christian;*;8.5
1;5v;Zwyssig Raphael;***;8.5
1;5w;Haenni Stéphane;**;8.5
1;5x;Schnurrenberger Roman;**;8.5
1;5y;Bleiker Reto;*;8.5
1;5z;Kohler Fredi;**;8.5
1;5z1;Giger Urs;*;8.5
1;5z2;Siegenthaler Matthias;***;8.5
1;5z3;Wyss Kilian;**;8.5
1;5z4;Kämpf Bernhard;***;8.5
1;5z5;Matthey Mickaël;**;8.5
2;1a;Fässler Andreas;**;19.75
2;1b;Gerber Christian;**;19.75
2;2a;Gnägi Florian;***;19.5
2;2b;Schneider Mario;**;19.5
