3197: 3197-2016-05-08_106_Zuercher_Kantonalschwingfest-ST
Gang;Rang;Schwinger;Level;Punkte
1;1a;Bucher Roland;;10.0
1;1b;Zehnder Laurent (2000);;10.0
1;1c;Arztmann Beda;;10.0
1;1d;Baumann Rico;*;10.0
1;1e;Aebli Nino (2000);;10.0
1;1f;Seiler Thomas;;10.0
1;1g;Koller Martin;*;10.0
1;1h;Oertle Daniel;;10.0
1;1i;Rüegg Roman;*;10.0
1;1j;Roth Martin;*;10.0
1;1k;Junker Nik;;10.0
1;1l;Marty Jaime (2000);;10.0
1;1m;Bösch Daniel;***;10.0
1;1n;Dittli Philip;;10.0
1;1o;Clopath Beat;***;10.0
1;1p;Gwerder Andreas;**;10.0
1;1q;Truniger Manuel;;10.0
1;1r;Lanter Christian (1998);;10.0
1;1s;Reber Marcel;*;10.0
1;1t;Leuppi Karim;;10.0
1;1u;Battaglia Ursin;**;10.0
1;1v;Bircher Luca (1999);;10.0
1;1w;Landolt Cla (1999);;10.0
1;1x;Schönenberger Christian;;10.0
1;1y;Feusi Michael (2000);;10.0
1;1z;Kunz Daniel;;10.0
1;1z1;Bickel Roman (1998);;10.0
1;1z2;Keller Andreas;;10.0
1;1z3;Krähenbühl Tobias;**;10.0
1;1z4;Wettstein Daniel;;10.0
1;1z5;Wolfer Lukas;;10.0
1;1z6;Scherer Christian;*;10.0
1;2a;Buchmann Michael;;9.75
1;2b;Hari Michi;;9.75
1;2c;Poltera Andrin (1999);;9.75
1;2d;Odermatt Michi;;9.75
1;2e;Schudel Simon;*;9.75
1;2f;Giger Samuel (1998);**;9.75
1;2g;Marty Lukas (1999);;9.75
1;2h;Held Florian;;9.75
1;2i;Läderach Pascal (1999);;9.75
1;2j;Braun Mathias;;9.75
1;2k;Candrian Gian-Luca (1998);;9.75
1;2l;Oetiker Ronny;;9.75
1;2m;Dändliker Shane;;9.75
1;2n;Burkhard Patrick;*;9.75
1;2o;Biäsch Christian;;9.75
1;2p;Bollier Fabian;;9.75
1;2q;Hersche Daniel;;9.75
1;2r;Schwyn Adrian;;9.75
1;2s;Dändliker Hansheinrich;;9.75
1;2t;Korrodi Paul;*;9.75
1;2u;Wild Thomas;;9.75
1;2v;Fontana Michael;;9.75
1;2w;Gmür Pirmin;*;9.75
1;2x;Schnurrenberger Roger;;9.75
1;2y;Kammermann Thomas;*;9.75
1;2z;Kleinberger Alex;;9.75
1;2z1;Breitenmoser Manuel;;9.75
1;2z2;Castelli Fabio (1999);;9.75
1;3a;Oettli Silvio (2000);;9.0
1;3b;Gosswiler Livio (2000);;9.0
1;3c;Frauchiger Remo;;9.0
1;4a;Kammermann Dominik;;8.75
1;4b;Bürki Patrik (1999);;8.75
1;4c;Schaffner Samuel;**;8.75
1;4d;Streuli Martin;*;8.75
1;4e;Kobler Janosch (2000);;8.75
1;4f;Fankhauser Jürg;*;8.75
1;4g;Bühler Ernst;**;8.75
1;4h;Weibel Lucien;;8.75
1;4i;Brügger Stefan;*;8.75
1;4j;Oertig Adrian;**;8.75
1;4k;Notz Beni;***;8.75
1;4l;Eugster Ruedi;**;8.75
1;4m;Meier Daniel;;8.75
1;4n;Stahel Felix;*;8.75
1;4o;Götti Samuel (1998);;8.75
1;4p;Fässler Patrick;;8.75
1;4q;Odermatt Martin;*;8.75
1;4r;Hauser Simon (1998);;8.75
1;4s;Nägeli Marco;*;8.75
1;4t;Peng Mike;***;8.75
1;4u;Reichmuth Beat;;8.75
1;4v;Zwyssig Raphael;***;8.75
1;4w;Schnurrenberger Roman;**;8.75
1;4x;Ott Dominik;*;8.75
1;4y;Orlik Curdin;**;8.75
1;4z;Vollenweider Jeremy (1998);*;8.75
1;4z1;Bänziger Peter;;8.75
1;4z2;Schwyn Patrick (1999);;8.75
1;4z3;Leuppi Samir;**;8.75
1;4z4;Fässler Andreas;**;8.75
1;4z5;Dörig Erich;*;8.75
1;5a;Knechtle Martin;**;8.5
1;5b;Eichhorn Alexander (1998);;8.5
1;5c;Ackermann Roman;;8.5
1;5d;Lehmann Philipp (1999);;8.5
1;5e;Schlüchter Fabian;;8.5
1;5f;Gysel Hansruedi;;8.5
1;5g;Langenegger Beat;;8.5
1;5h;Dumelin David;*;8.5
1;5i;Grimm Michael;;8.5
1;5j;Städler Roman;;8.5
1;5k;Schmid Patrick;*;8.5
1;5l;Odermatt Christoph;*;8.5
1;5m;Bieri Christoph;***;8.5
1;5n;Jörger Marc;;8.5
1;5o;Büsser André;;8.5
1;5p;Nägeli Roman;*;8.5
1;5q;Rohner Lukas (2000);;8.5
1;5r;Burkhard Roger;;8.5
1;5s;Stadelmann Valentin (2000);;8.5
1;5t;Kindlimann Fabian;***;8.5
1;5u;Sprecher Martin (2000);;8.5
1;5v;Funk Nicola (1999);;8.5
1;5w;Mortellaro Andrea;;8.5
1;5x;Kiener Tobias;;8.5
1;5y;Merkle Lukas (1998);;8.5
1;5z;Sieber Marc (2000);;8.5
1;5z1;Ueltschi Patric;*;8.5
1;5z2;Güntensperger Marcel;*;8.5
1;5z3;Zbinden Marc;*;8.5
1;5z4;Berger Roman;;8.5
1;5z5;Büchi Christian;;8.5
1;5z6;Schuler Martin;;8.5
1;5z7;Roth Lukas;*;8.5
1;5z8;Danner Daniel;;8.5
1;5z9;Wey Nicola;*;8.5
1;5z10;Pallaoro Luca;;8.5
1;5z11;Gisler Bruno;***;8.5
1;5z12;Bärtsch Jann (2000);;8.5
1;5z13;Vestner Roman;*;8.5
1;5z14;Flütsch Marco (1999);;8.5
1;5z15;Furrer Matthias;;8.5
1;5z16;Bischofberger Pirmin;;8.5
1;5z17;Frei Hanspeter (1999);;8.5
1;5z18;Kiener Raphael (2000);;8.5
1;5z19;Hitz Florian (1999);;8.5
1;5z20;Läng Dominick;;8.5
1;5z21;Mathis Patrick;;8.5
1;5z22;Aeppli Lukas (2000);;8.5
1;5z23;Tobler Marco;;8.5
1;5z24;Buff Alwin;;8.5
1;5z25;Zehnder Mario (1999);;8.5
1;5z26;Ebert Claudio;;8.5
1;5z27;Bleiker Reto;*;8.5
1;5z28;Pfister Florian;*;8.5
1;5z29;Fausch Kjetil;;8.5
1;5z30;Widmer David;;8.5
1;5z31;Schlatter Philipp;*;8.5
1;5z32;Braun Mario;;8.5
1;5z33;Schlegel Beni (1999);;8.5
2;1a;Bucher Roland;;20.0
