place,name,points,level
1,Aeschbacher Matthias ***,59.25,***
2 c,Staudenmann Fabian ***,57.75,***
3 c,Schwander Severin **,57.25,**
4 b,Döbeli Lukas **,57.00,**
4 e,Wenger Kilian ***,57.00,***
6,Klossner Adrian **,56.50,**
8 b,Kuster Thomas **,56.00,**
Nord,tschweizerischer Schwingerverband,,Schwingerverband
2 a,Schneider Domenic ***,57.75,***
3 a,von Weissenﬂuh Kilian ***,57.25,***
3 d,Wittwer Jan **,57.25,**
4 c,Orlik Curdin ***,57.00,***
5 a,Roth Martin ***,56.75,***
7,Gäumann Stefan **,56.25,**
9 a,Erb Roger **,55.75,**
2 b,Sempach Thomas ***,57.75,***
3 b,Odermatt Adrian **,57.25,**
4 a,Burger Matthieu **,57.00,**
4 d,Gobeli Patrick **,57.00,**
5 b,Zaugg Lars **,56.75,**
8 a,Roschi Ruedi **,56.00,**
9 b,Koch Reto **,55.75,**
9 c,Steﬀen Gustav **,55.75,**
9 f,Berger Lorenz **,55.75,**
10 b,Roth Philipp ***,55.50,***
11 a,Vieira Tiago **,55.25,**
11 d,Hügli Kaj **,55.25,**
12 a,Roth Tim (2004) *,55.00,*
13 b,Schmid Dominik **,54.75,**
14 c,Schlüchter Colin **,54.50,**
15 c,Burkhalter Stefan ***,54.25,***
Nord,tschweizerischer Schwingerverband,,Schwingerverband
9 d,Steﬀen Konrad *,55.75,*
9 g,Voggensperger Lars **,55.75,**
10 c,Zangger Dominik *,55.50,*
11 b,Burkhalter Thomas *,55.25,*
11 e,Schmutz Simon *,55.25,*
12 b,Zwyssig Raphael ***,55.00,***
14 a,Lüthi David *,54.50,*
15 a,Schmid Samuel **,54.25,**
15 d,Leuthard Reto **,54.25,**
9 e,Strebel Joel ***,55.75,***
10 a,Moser Michael (2005) **,55.50,**
10 d,Walther Adrian **,55.50,**
11 c,Hermann Oliver **,55.25,**
11 f,Signer Andy **,55.25,**
13 a,Roth Jan (2004) *,54.75,*
14 b,Räbmatter Patrick ***,54.50,***
15 b,Voggensperger Janic **,54.25,**
15 e,Wittwer Josias **,54.25,**
15 f,Brun Samuel **,54.25,**
16 c,Joho Philip *,54.00,*
17 a,Ackermann Remo *,53.75,*
17 d,Lüscher Sinisha (2006) *,53.75,*
19 b,Hugelshofer Lars *,53.25,*
20,Tschumi Lukas *,53.00,*
22 b,Jörger Marc *,52.50,*
24,Fausch Kjetil *,35.25,*
25 c,Kolb Pirmin *,35.00,*
Nord,tschweizerischer Schwingerverband,,Schwingerverband
16 a,Elmer Daniel *,54.00,*
16 d,Oettli Marco **,54.00,**
17 b,Riget Florian **,53.75,**
18,Bühler Hannes *,53.50,*
19 c,Odermatt Gian Maria (2004) **,53.25,**
21,Reinhard Pirmin *,52.75,*
22 c,Notz Beni ***,52.50,***
25 a,Gäggeler Adrian *,35.00,*
25 d,Rutsch Remo (2004) *,35.00,*
16 b,Stüdeli Thomas **,54.00,**
16 e,Koch Thomas **,54.00,**
17 c,Fejzaj Naim **,53.75,**
19 a,Joho Pascal (2004) *,53.25,*
19 d,Späti Jan,53.25,Jan
22 a,Jörger Corsin *,52.50,*
23,Döbeli Andreas ***,37.25,***
25 b,Kocher Remo **,35.00,**
26 a,Aellen Florian *,34.75,*
26 b,Brand Christian **,34.75,**
27 b,Nägeli Marco **,34.50,**
27 e,Studer Stefan **,34.50,**
29,Anderegg David *,34.00,*
31 b,Bader Fabian **,26.25,**
* Kan,nal- bzw. Gauverbandskranzschwin,ger ** T,Gauverbandskranzschwin
Nord,tschweizerischer Schwingerverband,,Schwingerverband
26 c,Good Marco **,34.75,**
27 c,Odermatt Jonas (2004) *,34.50,*
27 f,Rüegger Aaron *,34.50,*
30,Schmid Patrick *,26.75,*
32,Hadorn Marco *,25.75,*
lverb,dskranzschwinger *** Eidg. Kranzs,chwinge,Kranzs
27 a,Gerber Andrj *,34.50,*
27 d,Streich Sascha *,34.50,*
28,Kohler Adrian *,34.25,*
31 a,Geisser Lars **,26.25,**
33,Wittenwiler Roman **,8.75,**
