place,name,points,level
1,Laimbacher Philipp ***,58.50,***
3,Ulrich Andreas ***,57.75,***
5 a,Schurtenberger Sven **,57.25,**
6 a,Britschgi Melk **,57.00,**
6 d,Scheuber Lutz **,57.00,**
7 a,Arnold Daniel,56.75,Daniel
7 d,Zimmermann Simon *,56.75,*
8 a,Anderegg Simon ***,56.50,***
Ob-/N,alden,,alden
2 a,Imhof Andi ***,58.25,***
4 a,Glarner Matthias ***,57.50,***
5 b,Gloggner Philipp ***,57.25,***
6 b,Reichmuth Pirmin **,57.00,**
6 e,Imfeld Peter ***,57.00,***
7 b,Gassmann Fabian **,56.75,**
7 e,Binggeli Stefan,56.75,Stefan
8 b,Herger Matthias **,56.50,**
2 b,Wicki Joel **,58.25,**
4 b,Amgarten Martin,57.50,Martin
5 c,Niederberger Jakob **,57.25,**
6 c,Murer Andy *,57.00,*
6 f,von Ah Benji ***,57.00,***
7 c,Suppiger René **,56.75,**
7 f,Odermatt Christian **,56.75,**
8 c,Hess Florian,56.50,Florian
8 d,Niederberger Martin *,56.50,*
9 b,Arnold Raphael *,56.25,*
10 b,Arnold Stefan **,56.00,**
10 e,Vonlaufen Alexander **,56.00,**
10 h,Omlin Toni *,56.00,*
11 b,Odermatt Remo *,55.75,*
11 e,Amgarten Roman *,55.75,*
12 a,Lussi Marco *,55.50,*
12 d,Gasser Stefan **,55.50,**
Ob-/N,alden,,alden
8 e,Rohrer Marco **,56.50,**
9 c,Briker Michael *,56.25,*
10 c,Barmettler Peter *,56.00,*
10 f,Zurﬂuh Markus **,56.00,**
10 i,Schöpfer Ronny (1999),56.00,(1999)
11 c,Rohrer Beat *,55.75,*
11 f,Bernhard Lukas *,55.75,*
12 b,Zurﬂuh Michael (1999),55.50,(1999)
12 e,Herger Simon,55.50,Simon
9 a,Mathis Marcel ***,56.25,***
10 a,Waser Dominik **,56.00,**
10 d,Gander Adrian *,56.00,*
10 g,Odermatt Sepp,56.00,Sepp
11 a,Herger Fabian *,55.75,*
11 d,Zimmermann Martin **,55.75,**
11 g,Spichtig Clemens,55.75,Clemens
12 c,Arnold Severin *,55.50,*
12 f,Käslin Benno *,55.50,*
12 g,Kempf Elias **,55.50,**
12 j,von Ah Markus,55.50,Markus
12 m,Töngi Thomas *,55.50,*
13 c,Rohrer Ivan *,55.25,*
13 f,Würsch Lars,55.25,Lars
13 i,Kempf Damian,55.25,Damian
13 l,Reimann Thomas *,55.25,*
13 o,Wyrsch Marco *,55.25,*
