place,name,points,level
1,Ott Damian **,58.25,**
4 a,Giger Samuel ***,57.25,***
5 a,Ledermann Michael **,56.75,**
6 b,Walther Adrian **,56.50,**
8 a,Sturny Nicolas,56.00,Nicolas
9 b,Steﬀen Gustav **,55.75,**
9 e,Lüthi David *,55.75,*
9 h,Berger Lorenz **,55.75,**
Südw,schweizerischer Schwingerverband,,Schwingerverband
2,Roth Dominik **,57.75,**
4 b,Roschi Ruedi **,57.25,**
5 b,Rychen Roger ***,56.75,***
7 a,Schneider Domenic ***,56.25,***
8 b,Räbsamen Marcel *,56.00,*
9 c,Zaugg Lars *,55.75,*
9 f,Kramer Dorian **,55.75,**
9 i,Arztmann Beda **,55.75,**
3,Gnägi Florian ***,57.50,***
4 c,Gasser Dominik *,57.25,*
6 a,Gerber Christian ***,56.50,***
7 b,Gottofrey Marc **,56.25,**
9 a,Sempach Thomas ***,55.75,***
9 d,Schwander Severin **,55.75,**
9 g,Burger Matthieu **,55.75,**
10 a,Kämpf Bernhard ***,55.50,***
10 b,Kämpf Alexander **,55.50,**
10 e,Geisser Lars **,55.50,**
11 b,Matthey Mickaël **,55.25,**
11 e,Baeriswyl Christoph **,55.25,**
11 h,Binggeli Dominik *,55.25,*
12 c,Orlik Curdin ***,55.00,***
13 c,Schneider Mario **,54.75,**
13 f,Leuenberger Michael *,54.75,*
14 b,Scheuner Michael *,54.50,*
Südw,schweizerischer Schwingerverband,,Schwingerverband
10 c,Borcard Johann **,55.50,**
10 f,Klossner Adrian **,55.50,**
11 c,Luginbühl Hanspeter **,55.25,**
11 f,Weyermann Michael **,55.25,**
12 a,Iseli Marco **,55.00,**
13 a,Steudler Kevin *,54.75,*
13 d,Schlüchter Colin *,54.75,*
13 g,Collaud Romain **,54.75,**
14 c,Wey Nicola *,54.50,*
10 d,Roth Philipp ***,55.50,***
11 a,Vollenweider Jeremy **,55.25,**
11 d,Krähenbühl Tobias ***,55.25,***
11 g,Gäggeler Adrian *,55.25,*
12 b,Wieland Janis *,55.00,*
13 b,Schenk Thomas *,54.75,*
13 e,Rüegg Fabian *,54.75,*
14 a,Ackermann Remo *,54.50,*
14 d,Tschumi Lukas *,54.50,*
14 e,Leuppi Karim *,54.50,*
15 c,Dumelin David **,54.25,**
16 c,Pianta Christian *,54.00,*
17 b,Kuster Thomas *,53.75,*
18 a,Mollet Ivan **,53.50,**
19 b,Dorsaz Théo *,53.00,*
21 a,Kilchoer Alain *,52.50,*
22 a,Buchs Noah (2004),52.25,(2004)
24,Colò Kilian **,35.75,**
Südw,schweizerischer Schwingerverband,,Schwingerverband
15 a,Wittwer Josias **,54.25,**
16 a,Bollhalder Manuel *,54.00,*
16 d,Gnägi Damian *,54.00,*
17 c,Hayoz Quentin *,53.75,*
18 b,Haenni Stéphane **,53.50,**
20 a,Collaud Bastien (2005),52.75,(2005)
21 b,Emonet Frédéric **,52.50,**
22 b,Barras François *,52.25,*
25,Fankhauser Hans *,35.00,*
15 b,Fausch Kjetil *,54.25,*
16 b,Schläﬂi Hugo,54.00,Hugo
17 a,Michel Jonas *,53.75,*
17 d,Fankhauser Thomas *,53.75,*
19 a,Röthlisberger Simon *,53.00,*
20 b,Zbinden Dario (2004),52.75,(2004)
21 c,Crettaz Olivier *,52.50,*
23,Schmid Dominik **,45.25,**
26,Barras David *,34.75,*
27 a,Ducry Antoine **,34.50,**
28 b,Nägeli Daniel *,34.25,*
30,Wiget Michael ***,29.50,***
33,Hofer Sven **,8.75,**
* Kan,nal- bzw. Gauverbandskranzschwin,ger ** T,Gauverbandskranzschwin
Südw,schweizerischer Schwingerverband,,Schwingerverband
27 b,Droxler Jonathan **,34.50,**
28 c,Dubey Gaël *,34.25,*
31,Ambresin Cyril **,25.50,**
34 a,Tschachtli Sven **,8.50,**
lverb,dskranzschwinger *** Eidg. Kranzs,chwinge,Kranzs
28 a,Stoll Thomas *,34.25,*
29,Schmid Romain (2003) *,34.00,*
32,Anderegg Simon ***,18.50,***
34 b,Schär Alex *,8.50,*
