place,name,points,level
1,Sempach Matthias ***,58.50,***
4 a,Stucki Christian ***,57.25,***
4 d,Wenger Kilian ***,57.25,***
6 a,Aeschbacher Matthias **,56.75,**
7 b,Schuler Alex **,56.50,**
9,Schurtenberger Sven **,56.00,**
10 c,Weyermann Florian *,55.75,*
11 c,Bürli Roger **,55.50,**
11 f,Gerber Christian **,55.50,**
Inner,weizer Schwingerverband,,Schwingerverband
2,Anderegg Simon ***,58.00,***
4 b,Gnägi Florian ***,57.25,***
4 e,Fankhauser Erich ***,57.25,***
6 b,Betschart Rainer **,56.75,**
7 c,Käser Remo **,56.50,**
10 a,Brun Jonas **,55.75,**
11 a,Moser Michael **,55.50,**
11 d,Roschi Ruedi **,55.50,**
12 a,Felder Seppi *,55.25,*
3,Sempach Thomas ***,57.50,***
4 c,Kämpf Bernhard ***,57.25,***
5,Nötzli Reto ***,57.00,***
7 a,Linggi Bruno **,56.50,**
8,Gapany Benjamin **,56.25,**
10 b,Müller Michael **,55.75,**
11 b,Schelbert Ralf **,55.50,**
11 e,Schuler Philipp **,55.50,**
12 b,Rohrer Ivan **,55.25,**
12 c,Suppiger René **,55.25,**
12 f,Steﬀen Gustav *,55.25,*
13 b,Kennel Stefan **,55.00,**
13 e,Reusser Philipp **,55.00,**
15 b,Kempf Elias **,54.50,**
15 e,Rolli Martin **,54.50,**
16 b,Blaser Theo *,54.25,*
16 e,Heiniger Marco *,54.25,*
17 b,Guisolan Marc **,54.00,**
Inner,weizer Schwingerverband,,Schwingerverband
12 d,Wüthrich Niklaus **,55.25,**
12 g,Steinauer Adrian **,55.25,**
13 c,Kennel Beat *,55.00,*
14,Schenk Patrick **,54.75,**
15 c,Nydegger Michael ***,54.50,***
15 f,Roch Vincent **,54.50,**
16 c,Schärli Pius *,54.25,*
16 f,Wyss Kilian **,54.25,**
17 c,Wyrsch Marco *,54.00,*
12 e,Grab Martin ***,55.25,***
13 a,Lang Sven (1998) *,55.00,*
13 d,Vogel Remo **,55.00,**
15 a,Wampﬂer Beat ***,54.50,***
15 d,Reichmuth Armin *,54.50,*
16 a,Waser Dominik **,54.25,**
16 d,Gwerder Dario **,54.25,**
17 a,Gottofrey Marc **,54.00,**
17 d,Baumann Roger *,54.00,*
17 e,Thomet Adrian **,54.00,**
18 c,Droxler Jonathan **,53.75,**
19 b,Bieri Christian **,53.50,**
20 b,Overney Olivier *,53.00,*
22 b,Mosimann Vincent *,52.25,*
24 b,Zimmermann Martin **,35.50,**
26 a,Gwerder Carlo **,35.00,**
27 a,Brodard Augustin **,34.75,**
27 d,Höﬂiger Andreas **,34.75,**
27 g,Studer Stefan **,34.75,**
Inner,weizer Schwingerverband,,Schwingerverband
18 a,Arnold Raphael *,53.75,*
18 d,Niederberger Markus *,53.75,*
19 c,Borcard Johann **,53.50,**
21,Kälin Remo *,52.75,*
23,Hurschler Thomas **,44.25,**
25 a,Bürgler Lukas *,35.25,*
26 b,Kämpf Alexander **,35.00,**
27 b,Dober Adrian **,34.75,**
27 e,Odermatt Andreas *,34.75,*
28 a,Murer Andy *,34.50,*
18 b,Aellen Florian *,53.75,*
19 a,Emonet Frédéric *,53.50,*
20 a,Bloch Dominic **,53.00,**
22 a,Hess Dominik *,52.25,*
24 a,Dind Samuel **,35.50,**
25 b,Waser Reto *,35.25,*
26 c,Küttel Pirmin **,35.00,**
27 c,Gloggner Reto **,34.75,**
27 f,Haenni Stéphane **,34.75,**
28 b,Glauser Thomas **,34.50,**
29,Imfeld Peter ***,34.25,***
31 a,Gloggner Philipp ***,26.00,***
* Kan,nal- bzw. Gauverbandskranzschwin,ger ** T,Gauverbandskranzschwin
Inner,weizer Schwingerverband,,Schwingerverband
30 a,Amgarten Roman *,34.00,*
31 b,Heinzer Stefan *,26.00,*
lverb,dskranzschwinger *** Eidg. Kranzs,chwinge,Kranzs
30 b,Lerch Jimmy *,34.00,*
32,Ambühl Joel (1998) *,8.50,*
