place,name,points,level
1,Rhyner Michael **,58.50,**
2 c,Hersche Martin **,57.75,**
4 b,Forrer Arnold ***,57.25,***
5 a,Kuster Marcel **,57.00,**
5 d,Kohler Fredi **,57.00,**
5 g,Horner Peter **,57.00,**
6 b,Thoenen Henryc **,56.75,**
7 a,Battaglia Ursin **,56.50,**
7 d,Fässler Andreas **,56.50,**
Nordo,chweizer Schwingerverband,,Schwingerverband
2 a,Giger Samuel (1998) **,57.75,**
3,Orlik Armon **,57.50,**
4 c,Krähenbühl Tobias **,57.25,**
5 b,Leuppi Samir **,57.00,**
5 e,Clopath Beat ***,57.00,***
5 h,Burkhalter Stefan ***,57.00,***
6 c,Scheuber Lutz **,56.75,**
7 b,Rychen Roger **,56.50,**
8 a,Schmid Dominik *,56.25,*
2 b,Bösch Daniel ***,57.75,***
4 a,Stucki Christian ***,57.25,***
4 d,Eugster Ruedi **,57.25,**
5 c,Schneider Domenic **,57.00,**
5 f,Büsser Andy ***,57.00,***
6 a,Wickli Beat *,56.75,*
6 d,Riget Tobias **,56.75,**
7 c,Knechtle Martin **,56.50,**
8 b,Schläpfer Markus **,56.25,**
9 a,Kindlimann Fabian ***,56.00,***
10 b,Zbinden Marc *,55.75,*
10 e,Bühler Ernst **,55.75,**
10 h,Vestner Bruno *,55.75,*
10 k,Roth Martin *,55.75,*
11 a,Schmid Patrick (1997),55.50,(1997)
11 d,Bänziger Peter,55.50,Peter
11 g,Schnurrenberger Roman **,55.50,**
11 j,Giger Urs *,55.50,*
Nordo,chweizer Schwingerverband,,Schwingerverband
9 b,Korrodi Paul *,56.00,*
10 c,Kammermann Dominik,55.75,Dominik
10 f,Bösch Roman **,55.75,**
10 i,Steiner Michael **,55.75,**
10 l,Dörig Erich,55.75,Erich
11 b,Peng Mike ***,55.50,***
11 e,Ackermann Remo *,55.50,*
11 h,Schneider Mario **,55.50,**
11 k,Gapany Benjamin **,55.50,**
10 a,Käser Remo **,55.75,**
10 d,Gwerder Andreas **,55.75,**
10 g,Zwyssig Raphael ***,55.75,***
10 j,Schmid David **,55.75,**
10 m,Notz Beni ***,55.75,***
11 c,Holenstein Christian *,55.50,*
11 f,Schudel Simon,55.50,Simon
11 i,Guisolan Marc **,55.50,**
11 l,Scherer Christian *,55.50,*
11 m,Reber Marcel *,55.50,*
12 b,Stahel Felix *,55.25,*
12 e,Kid Simon **,55.25,**
12 h,Rüegg Roman *,55.25,*
12 k,Nägeli Marco *,55.25,*
12 n,Kamer Hanspeter *,55.25,*
12 q,Bickel Stefan *,55.25,*
13 c,Koch Thomas (1997),55.00,(1997)
13 f,Elmer Daniel *,55.00,*
Nordo,chweizer Schwingerverband,,Schwingerverband
11 n,Inauen Andreas *,55.50,*
12 c,Oertle Daniel,55.25,Daniel
12 f,Kammermann Thomas *,55.25,*
12 i,Oettli Marco (1997),55.25,(1997)
12 l,Morger Adrian *,55.25,*
12 o,Gmür Pirmin *,55.25,*
13 a,Bernold Christian *,55.00,*
13 d,Coray Beda *,55.00,*
14 a,Schlegel Reto (1997) *,54.75,*
12 a,Wey Nicola *,55.25,*
12 d,Manser Bruno *,55.25,*
12 g,Brühlmann Martin *,55.25,*
12 j,Oertig Dominik *,55.25,*
12 m,Keller Dominic,55.25,Dominic
12 p,Fejzaj Naim *,55.25,*
13 b,Vollenweider Jeremy (1998) *,55.00,*
13 e,Bernold Edi **,55.00,**
14 b,Koller Fabian,54.75,Fabian
14 c,Bernold Michael (1999),54.75,(1999)
15 c,Bäbler Dominik *,54.50,*
16 c,Nigg Lukas **,54.25,**
16 f,Wittenwiler Roman (1998),54.25,(1998)
16 i,Notz Armin *,54.25,*
16 l,Jöhl Christian *,54.25,*
17 c,Elmer Adrian,54.00,Adrian
17 f,Hofstetter Manuel *,54.00,*
18 b,Wild Stefan,53.75,Stefan
Nordo,chweizer Schwingerverband,,Schwingerverband
15 a,Landolt Reto *,54.50,*
16 a,Streuli Martin *,54.25,*
16 d,Krähenbühl Lukas *,54.25,*
16 g,Truniger Manuel,54.25,Manuel
16 j,Fäh Tobias,54.25,Tobias
17 a,Vestner Roman *,54.00,*
17 d,Sprecher Sandro *,54.00,*
17 g,Burkhard Patrick *,54.00,*
18 c,Rütsche Stefan *,53.75,*
15 b,Fässler Patrick,54.50,Patrick
16 b,Rüegg Fabian *,54.25,*
16 e,Baumann Rico *,54.25,*
16 h,Odermatt Martin *,54.25,*
16 k,Wicki Cédric,54.25,Cédric
17 b,Jud Pirmin *,54.00,*
17 e,Koch Reto,54.00,Reto
18 a,Akeret Benno *,53.75,*
18 d,Güntensperger Marcel *,53.75,*
19 a,Schwyn Adrian,53.50,Adrian
20 b,Ammann Rico *,53.25,*
21 b,Oertig Simon,53.00,Simon
23 a,Straub Robin *,35.50,*
23 d,Oetiker Ronny,35.50,Ronny
23 g,Hari Michi,35.50,Michi
23 j,Bleiker Daniel,35.50,Daniel
23 m,Wolfer Lukas,35.50,Lukas
23 p,Raschle Adrian,35.50,Adrian
23 s,Lieberherr Michael (1999),35.50,(1999)
23 v,Hersche Daniel,35.50,Daniel
Nordo,chweizer Schwingerverband,,Schwingerverband
19 b,Odermatt Christoph *,53.50,*
20 c,Raymann David,53.25,David
21 c,Fuster Sepp (1997),53.00,(1997)
23 b,Schmid Dominik (1998),35.50,(1998)
23 e,Nägeli Roman *,35.50,*
23 h,Bucher Roland,35.50,Roland
23 k,Bickel Roman (1998),35.50,(1998)
23 n,Schlumpf Dominik *,35.50,*
23 q,Pﬁster Florian,35.50,Florian
23 t,Jecklin Alexsandro (1998),35.50,(1998)
23 w,Frauchiger Remo,35.50,Remo
20 a,Leuppi Karim,53.25,Karim
21 a,Scherrer Willi,53.00,Willi
22,Litscher Manuel *,52.75,*
23 c,Pianta Christian (1997),35.50,(1997)
23 f,Mösli Reto,35.50,Reto
23 i,Braun Mathias,35.50,Mathias
23 l,Biäsch Christian,35.50,Christian
23 o,Riedi Thomas,35.50,Thomas
23 r,Pﬁﬀner Ivo,35.50,Ivo
23 u,Horner Sämi,35.50,Sämi
23 x,Castelberg Marius,35.50,Marius
23 y,Bürgler Patrick,35.50,Patrick
24 b,Roth Ruedi (1997),35.25,(1997)
24 e,Büsser André,35.25,André
25 b,Riget Ivan *,35.00,*
26 a,Schnyder Christian,34.50,Christian
26 d,Breitenmoser Simon,34.50,Simon
27 c,Langenegger Beat (1997),34.25,(1997)
28 a,Schiess Christian,34.00,Christian
30,Bernold Beat *,17.50,*
* Kan,nal- bzw. Gauverbandskranzschwin,ger ** T,Gauverbandskranzschwin
Nordo,chweizer Schwingerverband,,Schwingerverband
23 z,Breitenmoser Manuel,35.50,Manuel
24 c,Näf Bruno *,35.25,*
24 f,Arnold Christian,35.25,Christian
25 c,Castelberg Andri,35.00,Andri
26 b,Junker Nik,34.50,Nik
27 a,Schönenberger Björn,34.25,Björn
27 d,Bäbler Sandro **,34.25,**
28 b,Meier Remo **,34.00,**
31 a,Ritzmann Bernhard,8.50,Bernhard
lverb,dskranzschwinger *** Eidg. Kranzs,chwinge,Kranzs
24 a,Schäppi Urs,35.25,Urs
24 d,Mathis Patrick,35.25,Patrick
25 a,Vogel Beat *,35.00,*
25 d,Harder Benj,35.00,Benj
26 c,Gysel Hansruedi,34.50,Hansruedi
27 b,Roth Peter (1998),34.25,(1998)
27 e,Tremp Remo (1999),34.25,(1999)
29,Schmucki Ivo,18.50,Ivo
31 b,Gloggner Philipp ***,8.50,***
