place,name,points,level
1,Dind Samuel **,58.00,**
4 a,Guisolan Marc **,57.25,**
5 b,Roschi Ruedi **,57.00,**
6 a,Ducry Antoine,56.75,Antoine
7 b,Gapany Benjamin **,56.50,**
9 a,Duplan Steve **,56.00,**
Val-d,avers,,avers
2,Nydegger Michael ***,57.75,***
4 b,Moser Steven **,57.25,**
5 c,Hayoz Paul (1998),57.00,(1998)
6 b,Roch Vincent *,56.75,*
7 c,Wenger Marcel (1999),56.50,(1999)
9 b,Haenni Stéphane **,56.00,**
3,Cardinaux Victor *,57.50,*
5 a,Piemontesi Pascal **,57.00,**
5 d,Glauser Thomas **,57.00,**
7 a,Wampﬂer Beat ***,56.50,***
8,Gottofrey Marc **,56.25,**
9 c,Hayoz Quentin,56.00,Quentin
9 d,Zosso Remo **,56.00,**
10 a,Derron Cédric *,55.75,*
10 d,Schwander Severin,55.75,Severin
11 c,Brodard Simon **,55.50,**
11 f,Schöpfer Dio,55.50,Dio
12 b,Jacquier Pascal,55.25,Pascal
12 e,Mauron Olivier *,55.25,*
12 h,Emonet Fabien,55.25,Fabien
12 k,Parvex Bryan,55.25,Bryan
Val-d,avers,,avers
9 e,Berset Julien *,56.00,*
10 b,Emonet Frédéric *,55.75,*
11 a,Brodard Augustin **,55.50,**
11 d,Droxler Jonathan *,55.50,*
11 g,Taillard Virgile (1998),55.50,(1998)
12 c,Kropf Rolf **,55.25,**
12 f,Berset Cyril *,55.25,*
12 i,Giroud Jonathan **,55.25,**
12 l,Pellet Michael **,55.25,**
9 f,Dousse Michel *,56.00,*
10 c,Kramer Lario (1998) *,55.75,*
11 b,Zimmermann Mario *,55.50,*
11 e,Gassmann Simon,55.50,Simon
12 a,Borcard Johann **,55.25,**
12 d,Lerch Jimmy *,55.25,*
12 g,Chèvre Bernard,55.25,Bernard
12 j,Kilchoer Alain,55.25,Alain
12 m,Riedo Fredy,55.25,Fredy
12 n,Schafer Damien,55.25,Damien
13 b,Barras François (1998),55.00,(1998)
13 e,Wieland Micha,55.00,Micha
13 h,Liaudat Rudy **,55.00,**
14 b,Cropt Harald **,54.75,**
15 a,Overney Olivier *,54.50,*
15 d,Beer Peter (1999),54.50,(1999)
16 c,Dufey Gil,54.25,Gil
16 f,Rüegg Patrick (1999),54.25,(1999)
Val-d,avers,,avers
12 o,Barras David *,55.25,*
13 c,Derron Julien,55.00,Julien
13 f,Wittwer Oliver (2000),55.00,(2000)
13 i,Minder Florian,55.00,Florian
14 c,Gottofrey Luc,54.75,Luc
15 b,Buchs Carlo,54.50,Carlo
16 a,Aladenise Jonathan,54.25,Jonathan
16 d,Mosimann Vincent *,54.25,*
16 g,Chavagnat Benoît (1999),54.25,(1999)
13 a,Burgy Frank,55.00,Frank
13 d,Pouye Diey *,55.00,*
13 g,Schafer Claudio *,55.00,*
14 a,Niederberger Nicola (2000),54.75,(2000)
14 d,Remy Guillaume **,54.75,**
15 c,Torche Bastian,54.50,Bastian
16 b,Bersier Jean-Jacques,54.25,Jean-Jacques
16 e,Parvex Yannick,54.25,Yannick
16 h,Kyburz Silas,54.25,Silas
16 i,Loup Grégoire (2000),54.25,(2000)
17 b,Jeannin Jess (2000),54.00,(2000)
17 e,Vonlanthen Alexandre,54.00,Alexandre
18 a,Pharisa Loic,53.75,Loic
18 d,Burgy Matt (1999),53.75,(1999)
18 g,Goy Sébastien,53.75,Sébastien
19 b,Gauch Thierry,53.50,Thierry
19 e,Zingrich Jan (1999),53.50,(1999)
20 b,Schneiter Jérémy,53.25,Jérémy
Val-d,avers,,avers
16 j,Mollet Adrian,54.25,Adrian
17 c,Kramer Dorian (1999),54.00,(1999)
17 f,Heiniger Mickaël,54.00,Mickaël
18 b,Blanchette Nicolas,53.75,Nicolas
18 e,Curty Alexandre,53.75,Alexandre
18 h,Loup Alexandre,53.75,Alexandre
19 c,Joliat Léo (1999),53.50,(1999)
19 f,Portmann Fabio (1998),53.50,(1998)
21 a,Faivre Cedric,52.75,Cedric
17 a,Dubey Gaël,54.00,Gaël
17 d,Maridor Loic,54.00,Loic
17 g,Morger Adrian,54.00,Adrian
18 c,Borcard Clovis (1999),53.75,(1999)
18 f,Golliard Steve,53.75,Steve
19 a,Blanchard Benjamin,53.50,Benjamin
19 d,Pürro Tobias,53.50,Tobias
20 a,Lützelschwab Luc (1999),53.25,(1999)
21 b,Cottier Marco (2000),52.75,(2000)
22,Spring Dominic,52.50,Dominic
24 a,Roux Dimitri,51.00,Dimitri
25,Burri Flemming,37.00,Flemming
* Kan,nal- bzw. Gauverbandskranzschwin,ger ** T,Gauverbandskranzschwin
Val-d,avers,,avers
23 a,Mollier Etienne,51.25,Etienne
24 b,Thiébaud Adrian,51.00,Adrian
26,Skryapnik Oleg *,25.50,*
lverb,dskranzschwinger *** Eidg. Kranzs,chwinge,Kranzs
23 b,Reichenbach Ryan (1999),51.25,(1999)
24 c,Z'Rotz Elias (2000),51.00,(2000)
27,Paupe Alexandre (2000),10.00,(2000)
