place,name,points,level
1,Schurtenberger Sven **,58.50,**
3 a,Scheuber Lutz **,57.75,**
5 a,Suppiger René **,57.25,**
5 d,Fankhauser Erich ***,57.25,***
6 a,Bürli Roger,57.00,Roger
6 d,Suppiger Martin ***,57.00,***
7 a,Mathis Marcel ***,56.75,***
Entle,h,,h
2 a,Wicki Joel **,58.00,**
3 b,Vogel Remo *,57.75,*
5 b,Bernet Christoph *,57.25,*
5 e,Fankhauser Reto **,57.25,**
6 b,Felder Seppi,57.00,Seppi
6 e,Brun Jonas **,57.00,**
7 b,Zaugg Thomas ***,56.75,***
2 b,Schuler Christian ***,58.00,***
4,Gloggner Philipp ***,57.50,***
5 c,Scheidegger Philipp **,57.25,**
5 f,Stöckli Stefan **,57.25,**
6 c,Reusser Philipp **,57.00,**
6 f,Muﬀ André *,57.00,*
7 c,Fellmann Roman,56.75,Roman
7 d,Muﬀ Armin **,56.75,**
8 a,Arnold Stefan **,56.50,**
8 d,Suppiger Werner **,56.50,**
9 b,Egli Damian **,56.25,**
9 e,Gloggner Reto **,56.25,**
10 c,Gisler Stefan,56.00,Stefan
10 f,Suppiger Thomas,56.00,Thomas
10 i,Egli David *,56.00,*
11 b,Ottiger Lukas,55.75,Lukas
Entle,h,,h
7 e,Zgraggen Fabian,56.75,Fabian
8 b,Gerber Christian **,56.50,**
8 e,Dober Adrian *,56.50,*
9 c,Schuler Alex **,56.25,**
10 a,Rohrer Ivan *,56.00,*
10 d,Portmann Josef *,56.00,*
10 g,Wicki Patrick,56.00,Patrick
10 j,Kurmann Toni (1998),56.00,(1998)
11 c,Reichmuth Marco *,55.75,*
7 f,Müller Michael **,56.75,**
8 c,Graber Michael *,56.50,*
9 a,Betschart Remo **,56.25,**
9 d,Ambühl Joel (1998),56.25,(1998)
10 b,Bernhard Lukas *,56.00,*
10 e,Schärli Pius *,56.00,*
10 h,Doppmann Urs,56.00,Urs
11 a,Egli Pirmin **,55.75,**
11 d,Vonlaufen Alexander **,55.75,**
11 e,Achermann Daniel,55.75,Daniel
11 h,Kammermann Dominik,55.75,Dominik
11 k,Schöpfer Thomas *,55.75,*
11 n,Hodel Martin,55.75,Martin
12 b,Egli Manuel *,55.50,*
12 e,Bachmann Adrian,55.50,Adrian
12 h,Koch Roger *,55.50,*
12 k,Nauer Robin,55.50,Robin
12 n,Stadelmann Pius *,55.50,*
Entle,h,,h
11 f,Emmenegger Lukas,55.75,Lukas
11 i,Müller Roger,55.75,Roger
11 l,Stadelmann Simon *,55.75,*
11 o,Jund Matthias (1999),55.75,(1999)
12 c,Odermatt Andreas *,55.50,*
12 f,Bruhin Fredi,55.50,Fredi
12 i,Lang Sven (1998) *,55.50,*
12 l,Schärli Lukas **,55.50,**
12 o,Stucki Christian,55.50,Christian
11 g,Fellmann Simon,55.75,Simon
11 j,Ramseier Fritz *,55.75,*
11 m,Fankhauser Kurt **,55.75,**
12 a,Bieri Christian *,55.50,*
12 d,Achermann Christoph *,55.50,*
12 g,Dissler Philipp,55.50,Philipp
12 j,Lemmenmeier Lukas,55.50,Lukas
12 m,Scherrer Patrick,55.50,Patrick
12 p,Arnold Fabian,55.50,Fabian
12 q,Bieri Elias,55.50,Elias
12 t,Heiniger Marco *,55.50,*
13 b,Bussmann Martin,55.25,Martin
13 e,Bättig Peter,55.25,Peter
13 h,Heiniger Luca (1998),55.25,(1998)
13 k,Stöckli Damian,55.25,Damian
13 n,Wicki David (1998),55.25,(1998)
14 c,Durrer Robin,55.00,Robin
14 f,Widmer Simon,55.00,Simon
Entle,h,,h
12 r,Bühler Patrice,55.50,Patrice
12 u,Schöpfer Ronny (1999),55.50,(1999)
13 c,Lustenberger Josef,55.25,Josef
13 f,Fink Bruno *,55.25,*
13 i,Hodler Mathias,55.25,Mathias
13 l,Vogel Marcel,55.25,Marcel
14 a,Pedrazzini Diego (1998),55.00,(1998)
14 d,Felder Martin,55.00,Martin
14 g,Hirsiger Alexander,55.00,Alexander
12 s,Gisler Ruedi,55.50,Ruedi
13 a,Schnider Markus *,55.25,*
13 d,Müller Toni *,55.25,*
13 g,Fischer Tobias,55.25,Tobias
13 j,Schenk Thomas *,55.25,*
13 m,Rohrer Ueli (1999),55.25,(1999)
14 b,Bärtschi Basil,55.00,Basil
14 e,Kempf Elias **,55.00,**
14 h,Gerber Peter,55.00,Peter
14 i,Hasler Florian **,55.00,**
15 a,Widmer Dominik,54.75,Dominik
15 d,Achermann Simon,54.75,Simon
15 g,Thierstein Marco,54.75,Marco
15 j,Schmid Simon (2000),54.75,(2000)
16 c,Scherer Adrian *,54.50,*
16 f,Thalmann Thomas *,54.50,*
16 i,Elmiger Matthias,54.50,Matthias
16 l,Stampﬂi Simon,54.50,Simon
Entle,h,,h
14 j,Fässler Dominic *,55.00,*
15 b,Reber Sandro,54.75,Sandro
15 e,Egli Christian (2000),54.75,(2000)
15 h,Bucher Thomas,54.75,Thomas
16 a,von Flüe Marco,54.50,Marco
16 d,Scheuber Stefan,54.50,Stefan
16 g,Wicki Kevin,54.50,Kevin
16 j,Lang Julian (1998),54.50,(1998)
16 m,Ziegler Manuel,54.50,Manuel
14 k,Imboden Roger **,55.00,**
15 c,Wyrsch Silvio (1998),54.75,(1998)
15 f,Schärli Reto,54.75,Reto
15 i,Doppmann Ueli (1998),54.75,(1998)
16 b,Bättig Martin *,54.50,*
16 e,Schmidiger Marco,54.50,Marco
16 h,Andermatt Adrian,54.50,Adrian
16 k,Senn Pirmin,54.50,Pirmin
17 a,Murpf Dario (1999),54.25,(1999)
17 b,Odermatt Andreas,54.25,Andreas
17 e,Heller Basil (2000),54.25,(2000)
17 h,Scherer Niklaus,54.25,Niklaus
17 k,Wigger Simon (1999),54.25,(1999)
18 a,Fischer Markus (2000),54.00,(2000)
18 d,Huser Christian (2000),54.00,(2000)
18 h,Ziegler Elias (1999),54.00,(1999)
19 c,Fallegger Andreas (1998),53.75,(1998)
19 f,Marti Christoph (1999),53.75,(1999)
Entle,h,,h
17 c,Schaller Noah (2000),54.25,(2000)
17 f,Herger Fabian *,54.25,*
17 i,Suter Beat,54.25,Beat
17 l,Elmiger Andreas,54.25,Andreas
18 b,Stadelmann Pascal (1998),54.00,(1998)
18 f,Weber Marc (1999),54.00,(1999)
19 a,Zürcher Ueli (2000),53.75,(2000)
19 d,Hodel Dominik (2000),53.75,(2000)
19 g,Michel Silvan,53.75,Silvan
17 d,Barmet Sven,54.25,Sven
17 g,Rust Sandro (1999),54.25,(1999)
17 j,Vogel Manuel (1998),54.25,(1998)
17 m,Ziegler Dominik,54.25,Dominik
18 c,Zgraggen Peter,54.00,Peter
18 g,Wyss Fabian,54.00,Fabian
19 b,Ambühl Patrick,53.75,Patrick
19 e,Kurmann Jvo,53.75,Jvo
19 h,Tanner Manuel,53.75,Manuel
19 i,Vogel Sven (2000),53.75,(2000)
20 b,Portmann Roger (1998),53.50,(1998)
22 a,Gubbi Pablo (2000),53.00,(2000)
22 d,Stäger Franz (2000),53.00,(2000)
22 g,Weber Roman (1999),53.00,(1999)
24,Zurﬂuh Markus **,44.75,**
26 b,Ambühl Remo (2000),35.50,(2000)
26 e,Bühlmann Daniel (2000),35.50,(2000)
26 h,Fankhauser Ueli,35.50,Ueli
26 k,Zihlmann Silvan (2000),35.50,(2000)
Entle,h,,h
19 j,Achermann Severin (2000),53.75,(2000)
21 a,Krummenacher Roman (1998),53.25,(1998)
22 b,Lustenberger David (2000),53.00,(2000)
22 e,Wigger Florian (1998),53.00,(1998)
23 a,Duss Fabian,52.75,Fabian
25,Kammermann Thomas *,36.25,*
26 c,Arnold David,35.50,David
26 f,Bühlmann Robin (1999),35.50,(1999)
26 i,Hodel Michael (2000),35.50,(2000)
27 a,Amrein Lukas (1999),35.25,(1999)
20 a,Troxler Jonas (2000),53.50,(2000)
21 b,Sidler Kuno,53.25,Kuno
22 c,Mignola Lorenzo,53.00,Lorenzo
22 f,Aﬀentranger Martin (1999),53.00,(1999)
23 b,Zürcher Christian (1998),52.75,(1998)
26 a,Fahrni Lukas,35.50,Lukas
26 d,Baumann Reto,35.50,Reto
26 g,Fallegger Franco (1999),35.50,(1999)
26 j,Lampart Valentin (2000),35.50,(2000)
27 b,Benz Simon (2000),35.25,(2000)
27 c,Bühlmann Lukas (1999),35.25,(1999)
27 f,Müller Severin (1999),35.25,(1999)
27 i,Stocker Janosch (1999),35.25,(1999)
27 l,Wüest David (2000),35.25,(2000)
30,Di Pietro Loris (1998),34.25,(1998)
31 c,Kaufmann Fabian,34.00,Fabian
31 f,Kottmann Michael (1999),34.00,(1999)
32,Marti Lukas,26.75,Lukas
* Kan,nal- bzw. Gauverbandskranzschwin,ger ** T,Gauverbandskranzschwin
Entle,h,,h
27 d,Burri Ueli,35.25,Ueli
27 g,Schmid Joel (1999),35.25,(1999)
27 j,Wigger Fabian (1998),35.25,(1998)
28,Staﬀelbach Beat (2000),34.75,(2000)
31 a,Egli Jonas (2000),34.00,(2000)
31 d,Kottmann Jonas (2000),34.00,(2000)
31 g,Lampart Maurus (2000),34.00,(2000)
lverb,dskranzschwinger *** Eidg. Kranzs,chwinge,Kranzs
27 e,Grüter Marcel (1999),35.25,(1999)
