place,name,points,level
1,Reichmuth Pirmin ***,60.00,***
3 b,Nötzli Reto ***,57.75,***
4 c,Scheuber Lutz **,57.25,**
5 c,Herger Matthias **,57.00,**
5 f,Fankhauser Erich ***,57.00,***
6 b,Gisler Jonas (2001),56.75,(2001)
6 e,Graber Michael *,56.75,*
7 c,Herger Fabian *,56.50,*
2,Schurtenberger Sven ***,58.50,***
4 a,Suppiger René ***,57.25,***
5 a,Suppiger Werner **,57.00,**
5 d,Ambühl Joel **,57.00,**
5 g,Betschart Remo **,57.00,**
6 c,Zimmermann Martin **,56.75,**
7 a,Ulrich Andreas ***,56.50,***
7 d,Van Messel Noe (2002) *,56.50,*
3 a,Wicki Joel **,57.75,**
4 b,Bieri Marcel **,57.25,**
5 b,Schuler Christian ***,57.00,***
5 e,Imhof Andi ***,57.00,***
6 a,Zurﬂuh Michael *,56.75,*
6 d,Mathis Marcel ***,56.75,***
7 b,Muﬀ André *,56.50,*
7 e,Schmid Simon *,56.50,*
7 f,Gwerder Michael **,56.50,**
7 i,Gloggner Reto **,56.50,**
8 b,Odermatt Christian **,56.25,**
8 e,Zürcher Ueli,56.25,Ueli
9 b,Inderbitzin Daniel *,56.00,*
9 e,Suter Pirmin,56.00,Pirmin
9 h,Reichmuth Lukas *,56.00,*
10 a,Wicki David,55.75,David
10 d,Durrer Fabian *,55.75,*
7 g,Bucher Christian *,56.50,*
7 j,Müllestein Mike ***,56.50,***
8 c,Bucher Thomas,56.25,Thomas
8 f,Reichmuth Roland *,56.25,*
9 c,Linggi Bruno **,56.00,**
9 f,Steiner Severin (2001),56.00,(2001)
9 i,Müller Michael **,56.00,**
10 b,von Ah Benji ***,55.75,***
10 e,Bernet Christoph *,55.75,*
7 h,Wyrsch Marco **,56.50,**
8 a,Schuler Alex ***,56.25,***
8 d,Murer Andy **,56.25,**
9 a,Arnold Andreas *,56.00,*
9 d,Höﬂiger Andreas **,56.00,**
9 g,Rohrer Ivan **,56.00,**
9 j,Muﬀ Armin **,56.00,**
10 c,Schuler Alex,55.75,Alex
10 f,Arnold Raphael **,55.75,**
10 g,Riebli Urs (2002),55.75,(2002)
10 j,Beﬀa Mario,55.75,Mario
11 a,Rohrer Marco **,55.50,**
11 d,Wicki Kevin,55.50,Kevin
11 g,Odermatt Andreas *,55.50,*
11 j,Huser Christian,55.50,Christian
12 a,Kempf Elias **,55.25,**
12 d,Kennel Beat *,55.25,*
12 g,Binggeli Stefan **,55.25,**
10 h,Reichmuth Marco **,55.75,**
10 k,Arnold Stefan **,55.75,**
11 b,Gwerder Christian **,55.50,**
11 e,Suter Samuel,55.50,Samuel
11 h,Arnold Severin *,55.50,*
11 k,Gander Michael,55.50,Michael
12 b,Zimmermann Simon **,55.25,**
12 e,Kempf Damian,55.25,Damian
12 h,Arnold Fabian *,55.25,*
10 i,Bissig Fabian,55.75,Fabian
10 l,Bühlmann Daniel,55.75,Daniel
11 c,Durrer Robin *,55.50,*
11 f,Schaﬀner Samuel **,55.50,**
11 i,Niederberger Markus *,55.50,*
11 l,Durrer Jonas (2003),55.50,(2003)
12 c,Röthlin Pascal,55.25,Pascal
12 f,Christen Silvan (2002),55.25,(2002)
12 i,Ulrich Pascal,55.25,Pascal
12 j,Gwerder Beni,55.25,Beni
12 m,Durrer Nando *,55.25,*
13 b,Bürgi Reto *,55.00,*
13 e,Gander Adrian *,55.00,*
13 h,Betschart Rainer **,55.00,**
13 k,Wicki Patrick,55.00,Patrick
14 c,Bieri Elias,54.75,Elias
14 f,Waser Raphael,54.75,Raphael
12 k,Barmettler Peter *,55.25,*
12 n,Briker Michael *,55.25,*
13 c,Kaufmann Reto (2002),55.00,(2002)
13 f,Fink Bruno *,55.00,*
13 i,Eﬃnger Markus *,55.00,*
14 a,Wandeler Roman (2002),54.75,(2002)
