place,name,points,level
1,Stucki Christian ***,59.75,***
3 b,Henzer Andreas **,57.25,**
4 c,Bloch Dominic **,57.00,**
5 c,Dind Samuel **,56.75,**
6 b,Kämpf Alexander **,56.25,**
6 e,Gäggeler Adrian *,56.25,*
7 b,Blatter Lorenz *,56.00,*
7 e,Roschi Ruedi **,56.00,**
8 b,Käser Remo **,55.75,**
Nord,tschweizerischer Schwingerverband,,Schwingerverband
2,Sempach Thomas ***,58.25,***
4 a,Luginbühl Hanspeter **,57.00,**
5 a,Gehrig Damian **,56.75,**
5 d,Gisler Bruno ***,56.75,***
6 c,Bieri Christoph ***,56.25,***
6 f,Moser Steven **,56.25,**
7 c,Studer Stefan **,56.00,**
7 f,Matthey Mickaël **,56.00,**
8 c,Bächli Michael (1998) *,55.75,*
3 a,Kämpf Bernhard ***,57.25,***
4 b,Gapany Benjamin **,57.00,**
5 b,Erb Roger **,56.75,**
6 a,Alpiger Nick **,56.25,**
6 d,Siegenthaler Matthias ***,56.25,***
7 a,Gerber Christian **,56.00,**
7 d,Röthlisberger Simon *,56.00,*
8 a,Schmid David **,55.75,**
8 d,Stalder Remo ***,55.75,***
8 e,Schenkel Adrian **,55.75,**
9 a,Piemontesi Pascal **,55.50,**
9 d,Odermatt Christian **,55.50,**
10 b,Roth Dominik *,55.25,*
10 e,Glauser Thomas **,55.25,**
11 c,Kropf Rolf **,55.00,**
12 c,Schmid Reto **,54.75,**
13 c,Cardinaux Victor *,54.50,*
14 c,Rolli Martin **,54.25,**
Nord,tschweizerischer Schwingerverband,,Schwingerverband
8 f,Hauri Urs **,55.75,**
9 b,Schütz Urs **,55.50,**
9 e,Leuthard Reto *,55.50,*
10 c,Stoll Simon,55.25,Simon
11 a,Weyermann Florian *,55.00,*
12 a,von Arx Christian *,54.75,*
13 a,Zürcher Remo *,54.50,*
14 a,Döbeli Andreas (1998) *,54.25,*
14 d,Brand Christian **,54.25,**
8 g,Zenger Niklaus ***,55.75,***
9 c,Renfer Lukas *,55.50,*
10 a,Bader Andreas *,55.25,*
10 d,Overney Olivier *,55.25,*
11 b,Roch Vincent *,55.00,*
12 b,Studinger Stephan **,54.75,**
13 b,Stüdeli Thomas **,54.50,**
14 b,Vieira Tiago **,54.25,**
15 a,Uebersax Remo **,53.75,**
15 b,Kramer Franz *,53.75,*
15 e,Moser Matthias *,53.75,*
15 h,Gerber Manuel,53.75,Manuel
16 c,Gottofrey Marc **,53.00,**
18 b,Hasler Jimmy *,35.50,*
18 e,Voggensperger Janic (1998) *,35.50,*
18 h,Nyﬀeler Christoph,35.50,Christoph
19 a,Steinmann Yves *,35.25,*
19 d,Hügli Kaj (1997) *,35.25,*
22 a,Sigg David *,34.00,*
Nord,tschweizerischer Schwingerverband,,Schwingerverband
15 c,Giroud Jonathan **,53.75,**
15 f,Klausner Yanick **,53.75,**
16 a,Wälti Christoph **,53.00,**
17,Casarico Fabio **,52.75,**
18 c,Brun Samuel (1999),35.50,(1999)
18 f,Studinger Mathias **,35.50,**
18 i,Lehmann Nicola *,35.50,*
19 b,Schumacher Michael *,35.25,*
20,Kohler Adrian,34.75,Adrian
22 b,Lisser Beat,34.00,Beat
15 d,Strebel Joel (1997) *,53.75,*
15 g,Hermann Oliver,53.75,Oliver
16 b,Steﬀen Gustav *,53.00,*
18 a,Kocher Remo **,35.50,**
18 d,Waldner Patrick **,35.50,**
18 g,Steinmann Kevin **,35.50,**
18 j,Huber Jan (1997) *,35.50,*
19 c,Krebs Clemens,35.25,Clemens
21,Scherrer Johann **,34.50,**
22 c,Lang Martin **,34.00,**
22 d,Heiniger Vincent *,34.00,*
24,Probst Gabriel **,17.00,**
* Kan,nal- bzw. Gauverbandskranzschwin,ger ** T,Gauverbandskranzschwin
Nord,tschweizerischer Schwingerverband,,Schwingerverband
22 e,Hasler Simon,34.00,Simon
25,Guisolan Marc **,8.75,**
lverb,dskranzschwinger *** Eidg. Kranzs,chwinge,Kranzs
23,Räbmatter Patrick **,25.75,**
26 °,Schläpfer Matthias *,8.75,*
