place,name,points,level
1,Laimbacher Philipp ***,58.50,***
3 b,von Ah Benji ***,57.50,***
5,Zwyssig Raphael ***,57.00,***
7 a,Forrer Arnold ***,56.50,***
7 d,Laimbacher Adrian ***,56.50,***
9 a,Kindlimann Fabian ***,56.00,***
10 b,Rhyner Michael **,55.75,**
11 b,Fankhauser Reto **,55.50,**
11 e,Murer Andy *,55.50,*
Inner,weizer Schwingerverband,,Schwingerverband
2,Grab Martin ***,58.25,***
4 a,Müllestein Mike **,57.25,**
6 a,Fankhauser Erich ***,56.75,***
7 b,Ulrich Andreas ***,56.50,***
8 a,Orlik Armon **,56.25,**
9 b,Bösch Daniel ***,56.00,***
10 c,Gloggner Philipp ***,55.75,***
11 c,Bieri Marcel **,55.50,**
11 f,Krähenbühl Tobias **,55.50,**
3 a,Wicki Joel (1997) **,57.50,**
4 b,Schurtenberger Sven **,57.25,**
6 b,Räbmatter Patrick **,56.75,**
7 c,Bieri Christoph ***,56.50,***
8 b,Burkhalter Stefan ***,56.25,***
10 a,Schuler Alex **,55.75,**
11 a,Schelbert Ralf *,55.50,*
11 d,Rychen Roger **,55.50,**
12 a,Studinger Stephan **,55.25,**
12 b,Schneider Domenic **,55.25,**
12 e,Odermatt Sepp **,55.25,**
13 b,Schneider Mario **,55.00,**
14 c,Blatter Lorenz *,54.75,*
15 a,Stoﬀel Marc **,54.50,**
15 d,Ulrich Florian *,54.50,*
16 c,Stüdeli Thomas **,54.25,**
16 f,Schuler Philipp **,54.25,**
16 i,Kocher Remo **,54.25,**
Inner,weizer Schwingerverband,,Schwingerverband
12 c,Nötzli Bruno ***,55.25,***
12 f,Gasser Stefan **,55.25,**
14 a,Kohler Fredi **,54.75,**
14 d,Betschart Remo **,54.75,**
15 b,Orlik Curdin **,54.50,**
16 a,Kuster Marcel **,54.25,**
16 d,Hersche Martin **,54.25,**
16 g,Nägeli Marco *,54.25,*
17,Kempf Elias **,54.00,**
12 d,Egli Pirmin *,55.25,*
13 a,Erb Roger **,55.00,**
14 b,Mathis Marcel ***,54.75,***
14 e,Scheuber Lutz **,54.75,**
15 c,Betschart Rainer **,54.50,**
16 b,Villiger Cyrill *,54.25,*
16 e,Stalder Remo ***,54.25,***
16 h,Leuppi Samir **,54.25,**
18 a,Suppiger Werner **,53.50,**
18 b,Bättig Martin *,53.50,*
19 b,Schärli Pius *,53.25,*
20 a,Hess Michael *,53.00,*
21 b,Gwerder Carlo **,52.75,**
22 b,Omlin Toni *,35.50,*
22 e,Gloggner Reto **,35.50,**
23 b,Rüegg Roman *,35.25,*
24 b,Alpiger Nick **,35.00,**
25 c,Eﬃnger Markus *,34.75,*
26 a,Rüegg Fabian,34.50,Fabian
Inner,weizer Schwingerverband,,Schwingerverband
18 c,Notz Beni ***,53.50,***
19 c,Heinzer Stefan *,53.25,*
20 b,Riget Tobias **,53.00,**
21 c,Forster Adrian **,52.75,**
22 c,Knechtle Martin **,35.50,**
22 f,Fässler Dominic *,35.50,*
23 c,Graber Michael *,35.25,*
25 a,Föhn Pirmin *,34.75,*
25 d,Bühler Ernst **,34.75,**
26 b,Lüönd Andreas **,34.50,**
19 a,Steiner Michael **,53.25,**
19 d,Höﬂiger Andreas *,53.25,*
21 a,Zimmermann Daniel *,52.75,*
22 a,Suter David **,35.50,**
22 d,Imfeld Peter ***,35.50,***
23 a,Zurﬂuh Markus **,35.25,**
24 a,Riget Ivan *,35.00,*
25 b,Egli Damian **,34.75,**
25 e,Korrodi Paul *,34.75,*
26 c,Roth Martin *,34.50,*
27 a,Vogel Beat *,34.25,*
29,Gassmann Fabian **,27.00,**
* Kan,nal- bzw. Gauverbandskranzschwin,ger ** T,Gauverbandskranzschwin
Inner,weizer Schwingerverband,,Schwingerverband
27 b,Scherer Christian *,34.25,*
30,Bernhard Lukas *,17.00,*
lverb,dskranzschwinger *** Eidg. Kranzs,chwinge,Kranzs
28,Güntensperger Marcel *,34.00,*
31,Arnold Andreas *,8.75,*
