place,name,points,level
1,Orlik Armon **,58.75,**
3 b,Schneider Mario **,58.00,**
5 b,Schneider Domenic **,57.25,**
6 c,Koller Martin *,57.00,*
6 f,Dumelin David *,57.00,*
7 c,Rhyner Michael **,56.75,**
7 f,Schläpfer Matthias *,56.75,*
8 b,Wickli Beat **,56.50,**
2,Bösch Daniel ***,58.25,***
4,Bühler Ernst **,57.75,**
6 a,Straub Robin *,57.00,*
6 d,Krähenbühl Tobias **,57.00,**
7 a,Hersche Martin **,56.75,**
7 d,Schläpfer Markus **,56.75,**
7 g,Schnurrenberger Roman **,56.75,**
8 c,Oettli Marco,56.50,Marco
3 a,Giger Samuel (1998) **,58.00,**
5 a,Bühler Hannes *,57.25,*
6 b,Zbinden Marc *,57.00,*
6 e,Notz Beni ***,57.00,***
7 b,Forrer Arnold ***,56.75,***
7 e,Steiner Michael **,56.75,**
8 a,Leuppi Samir **,56.50,**
8 d,Rychen Roger **,56.50,**
9 a,Zwyssig Raphael ***,56.25,***
10 b,Fejzaj Naim *,56.00,*
11 c,Bernold Edi **,55.75,**
11 f,Siegenthaler Tobias *,55.75,*
12 b,Bickel Roman (1998),55.50,(1998)
12 e,Wey Nicola *,55.50,*
12 h,Hungerbühler Marcel,55.50,Marcel
12 k,Odermatt Christoph *,55.50,*
12 n,Keller Dominic,55.50,Dominic
9 b,Freuler Franz **,56.25,**
11 a,Notz Armin *,55.75,*
11 d,Koller Fabian,55.75,Fabian
11 g,Wittenwiler Roman (1998),55.75,(1998)
12 c,Götti Samuel (1998),55.50,(1998)
12 f,Ammann Rico *,55.50,*
12 i,Kammermann Thomas *,55.50,*
12 l,Wolfer Lukas,55.50,Lukas
13 a,Brand Andreas *,55.25,*
10 a,Schmid Patrick *,56.00,*
11 b,Oertig Dominik *,55.75,*
11 e,Näf Pius *,55.75,*
12 a,Nägeli Marco *,55.50,*
12 d,Krähenbühl Lukas *,55.50,*
12 g,Glaus Martin ***,55.50,***
12 j,Kuster Marcel **,55.50,**
12 m,Frick Andreas *,55.50,*
13 b,Coray Beda *,55.25,*
13 c,Giger Urs *,55.25,*
13 f,Raymann David,55.25,David
14 a,Bernold Michael (1999),55.00,(1999)
14 d,Burkhard Patrick *,55.00,*
14 g,Gubler Daniel,55.00,Daniel
15 a,Egli Martin,54.75,Martin
15 d,Fuster Sepp,54.75,Sepp
16 b,Holenstein Christian *,54.50,*
13 d,Koch Reto,55.25,Reto
13 g,Vogel Thomas,55.25,Thomas
14 b,Landolt Reto *,55.00,*
14 e,Büsser André,55.00,André
14 h,Hari Michi,55.00,Michi
15 b,Oertle Daniel,54.75,Daniel
15 e,Roth Lukas *,54.75,*
16 c,Keller Lukas,54.50,Lukas
13 e,Koch Thomas,55.25,Thomas
13 h,Bernold Christian *,55.25,*
14 c,Beck Dominik,55.00,Dominik
14 f,Frauchiger Remo,55.00,Remo
14 i,Schönenberger Philipp,55.00,Philipp
15 c,Rüegg Fabian *,54.75,*
16 a,Brügger Stefan *,54.50,*
16 d,Pﬂeghart Remo,54.50,Remo
16 e,Dörig Erich *,54.50,*
16 h,Gwerder Andreas **,54.50,**
16 k,Korrodi Paul *,54.50,*
17 b,Schwager Ivo,54.25,Ivo
17 e,Fässler Patrick,54.25,Patrick
17 h,Schlegel Reto *,54.25,*
18 b,Schweingruber Thomas,54.00,Thomas
18 e,Keller Andreas,54.00,Andreas
19 a,Hostettler Roman,53.75,Roman
16 f,Marty Jaime (2000),54.50,(2000)
16 i,Kuster Thomas *,54.50,*
16 l,Oettli Silvio (2000),54.50,(2000)
17 c,Trümpy Simon (1998),54.25,(1998)
17 f,Hochholdinger Roman **,54.25,**
17 i,Blaser Gian (1998),54.25,(1998)
18 c,Blaser Jan *,54.00,*
18 f,Tanner Adrian,54.00,Adrian
19 b,Odermatt Leon (1999),53.75,(1999)
16 g,Thiemann Fabrice,54.50,Fabrice
16 j,Notz Hans *,54.50,*
17 a,Lötscher Abraham (2000),54.25,(2000)
