place,name,points,level
1,Giger Samuel ***,58.50,***
3 b,Good Marco **,57.25,**
4 c,Lehmann Philipp *,57.00,*
5 c,Funk Nicola *,56.75,*
5 f,Buchmann Michael,56.75,Michael
6 a,Odermatt Andreas **,56.50,**
6 d,Durrer Jonas *,56.50,*
7,Rüegg Fabian *,56.25,*
Unter,dquart,,dquart
2,Dumelin David **,57.50,**
4 a,Orlik Armon ***,57.00,***
5 a,Biäsch Christian *,56.75,*
5 d,Jörger Marc *,56.75,*
5 g,Fausch Kjetil *,56.75,*
6 b,Hochholdinger Roman **,56.50,**
6 e,Koch Thomas *,56.50,*
8 a,Gmür Pirmin **,56.00,**
3 a,Koch Reto *,57.25,*
4 b,Räbsamen Marcel **,57.00,**
5 b,Dändliker Shane **,56.75,**
5 e,Kindlimann Fabian ***,56.75,***
5 h,Orlik Curdin ***,56.75,***
6 c,Bless Michael ***,56.50,***
6 f,Schläpfer Markus **,56.50,**
8 b,Roth Martin ***,56.00,***
8 c,Lüthi Manuel *,56.00,*
8 f,Barmettler Renato *,56.00,*
9 b,Brügger Stefan *,55.75,*
9 e,Joos Enrico *,55.75,*
10 a,Hänni Marc,55.50,Marc
10 d,Zwyssig Raphael ***,55.50,***
10 g,Tsirkin Stepan,55.50,Stepan
10 j,Signer Tobias (2004),55.50,(2004)
11 c,Inauen Aurel,55.25,Aurel
Unter,dquart,,dquart
8 d,Poltera Andrin **,56.00,**
8 g,Lanter Christian *,56.00,*
9 c,Feldmann Patrik (2005),55.75,(2005)
9 f,Oettli Silvio **,55.75,**
10 b,Odermatt Christian **,55.50,**
10 e,Kiser Aron,55.50,Aron
10 h,Leuppi Karim *,55.50,*
11 a,Bucher Roman,55.25,Roman
11 d,Mettler Valentin *,55.25,*
8 e,Schmidlin Tobias *,56.00,*
9 a,Rotach Lars *,55.75,*
9 d,Hobi Ignaz *,55.75,*
9 g,Schmid Dominik **,55.75,**
10 c,Riget Florian **,55.50,**
10 f,Sprecher Martin,55.50,Martin
10 i,Nietlispach Pascal **,55.50,**
11 b,Fässler Tobias,55.25,Tobias
11 e,Ulmann Fabian *,55.25,*
11 f,Ackermann Remo *,55.25,*
11 i,Kühne Cyrill (2004),55.25,(2004)
11 l,Rychen Roger ***,55.25,***
12 c,Lacher Tobias (2005),55.00,(2005)
12 f,Kolb Pirmin *,55.00,*
13 c,Mathys Stefan (2005),54.75,(2005)
13 f,Brülisauer Dominik,54.75,Dominik
14 a,Landolt Reto *,54.50,*
14 d,Lazzarotto Salomon (2005),54.50,(2005)
Unter,dquart,,dquart
11 g,Baumgartner Ramon **,55.25,**
11 j,Manser Adrian,55.25,Adrian
12 a,Flütsch Marco,55.00,Marco
12 d,Stadelmann Patrick,55.00,Patrick
13 a,Baumann Rico *,54.75,*
13 d,Rhyner Beni,54.75,Beni
13 g,Egli Martin *,54.75,*
14 b,Pianta Christian *,54.50,*
14 e,Riget Tobias **,54.50,**
11 h,Fejzaj Naim **,55.25,**
11 k,Niederberger Marc Ursin,55.25,Ursin
12 b,Jörger Corsin *,55.00,*
12 e,Studerus Jan,55.00,Jan
13 b,Hari Michi,54.75,Michi
13 e,Kurmann Patrick *,54.75,*
13 h,Inauen Maurus,54.75,Maurus
14 c,Büchler Livio,54.50,Livio
14 f,Widmer Thomas,54.50,Thomas
14 g,Rogenmoser Linus,54.50,Linus
15 b,Lötscher Niklas (2006),54.25,(2006)
15 e,Engi Niculin (2006),54.25,(2006)
15 h,Korrodi Janik (2004),54.25,(2004)
15 k,Wagner Andreas,54.25,Andreas
16 b,Dobler Martin,54.00,Martin
16 e,Schoch René,54.00,René
17 a,Bernhard Thomas,53.75,Thomas
17 d,Keller Cedric,53.75,Cedric
Unter,dquart,,dquart
14 h,Tschudi Mario,54.50,Mario
15 c,Odermatt Michi,54.25,Michi
15 f,Hurschler Adrian,54.25,Adrian
15 i,Schiesser Patrik *,54.25,*
15 l,Habegger Andrin (2005),54.25,(2005)
16 c,Horner Sämi,54.00,Sämi
16 f,Trümpy Thomas (2006),54.00,(2006)
17 b,Brand Andreas,53.75,Andreas
17 e,Rüger Damian,53.75,Damian
15 a,Ammann Rico *,54.25,*
15 d,Thiemann Fabrice,54.25,Fabrice
15 g,Inauen Andreas *,54.25,*
15 j,Schlegel Jamie (2004),54.25,(2004)
16 a,Bischof Martin,54.00,Martin
16 d,Joos Roman (2005),54.00,(2005)
16 g,Wehrli Jan,54.00,Jan
17 c,Heierli Pascal **,53.75,**
17 f,Schiess Daniel,53.75,Daniel
17 g,Schmid Dominik,53.75,Dominik
18 a,Odermatt Gian Maria (2004) *,53.50,*
20,Schläpfer Matthias *,53.00,*
22 a,Bachmann Oliver (2004),52.50,(2004)
22 d,Walser Aaron (2006),52.50,(2006)
24 b,Bossert Luc (2006),35.25,(2006)
24 e,Rust Emanuel,35.25,Emanuel
26 a,Aebli Andrin,34.25,Andrin
26 d,Nef Tobias (2005),34.25,(2005)
27 c,Nay Kyron (2006),34.00,(2006)
* Kan,nal- bzw. Gauverbandskranzschwin,ger ** T,Gauverbandskranzschwin
Unter,dquart,,dquart
17 h,Spörndli Cyril,53.75,Cyril
18 b,Müller Josias (2006),53.50,(2006)
21 a,Bleiker Daniel,52.75,Daniel
22 b,Mösli Timo (2006),52.50,(2006)
23,Castelli Fabio *,37.00,*
24 c,Brasser Gian-Claudio,35.25,Gian-Claudio
24 f,Vetterli Sven,35.25,Sven
26 b,Allemann Thomas,34.25,Thomas
27 a,Egli Benno (2004),34.00,(2004)
27 d,Signer Walter,34.00,Walter
lverb,dskranzschwinger *** Eidg. Kranzs,chwinge,Kranzs
17 i,Nock Benjamin *,53.75,*
19,Plüer Fabian,53.25,Fabian
21 b,Gantenbein Linard (2004),52.75,(2004)
22 c,Schläpfer Andrin,52.50,Andrin
24 a,Bernold Edi **,35.25,**
24 d,Dörig Maurus (2004),35.25,(2004)
25,Ackermann Rico *,34.50,*
26 c,Hengartner Ivo *,34.25,*
27 b,Mayer Sebastian (2005),34.00,(2005)
28,Keller Dominic,18.25,Dominic
