place,name,points,level
1,Alpiger Nick ***,58.50,***
4,Schurtenberger Sven ***,57.50,***
5 c,Reichmuth Pirmin ***,57.25,***
6 b,von Ah Benji ***,57.00,***
6 e,Bieri Marcel **,57.00,**
7 c,Fankhauser Erich ***,56.75,***
7 f,Mathis Marcel ***,56.75,***
Inner,weizer Schwingerverband,,Schwingerverband
2,Wicki Joel **,58.25,**
5 a,Schuler Christian ***,57.25,***
5 d,Imhof Andi ***,57.25,***
6 c,Lang Sven *,57.00,*
7 a,von Weissenﬂuh Kilian **,56.75,**
7 d,Nötzli Reto ***,56.75,***
8 a,Herger Matthias **,56.50,**
3,Orlik Armon ***,58.00,***
5 b,Gapany Benjamin **,57.25,**
6 a,Bernhard Lukas *,57.00,*
6 d,Gloggner Philipp ***,57.00,***
7 b,Fankhauser Marco **,56.75,**
7 e,Ambühl Joel **,56.75,**
8 b,Ettlin Stefan **,56.50,**
8 c,Egli Damian **,56.50,**
8 f,Müllestein Mike ***,56.50,***
9 c,Suppiger René ***,56.25,***
9 f,Doppmann Urs **,56.25,**
10 c,Murer Andy **,56.00,**
10 f,Arnold Stefan **,56.00,**
11 b,Waser Dominik **,55.75,**
11 e,Schöpfer Ronny *,55.75,*
12 b,Piemontesi Pascal **,55.50,**
Inner,weizer Schwingerverband,,Schwingerverband
8 d,Briker Michael *,56.50,*
9 a,Steinauer Adrian **,56.25,**
9 d,Reichmuth Marco **,56.25,**
10 a,Zurﬂuh Roman **,56.00,**
10 d,Gwerder Michael **,56.00,**
10 g,Scheuber Lutz **,56.00,**
11 c,Schmid Simon *,55.75,*
11 f,Rohrer Ueli *,55.75,*
12 c,Höﬂiger Andreas **,55.50,**
8 e,Rohrer Ivan **,56.50,**
9 b,Suppiger Werner **,56.25,**
9 e,Fankhauser Reto **,56.25,**
10 b,Vogel Remo **,56.00,**
10 e,Brun Jonas **,56.00,**
11 a,Hurschler Thomas **,55.75,**
11 d,Muﬀ André *,55.75,*
12 a,Zimmermann Simon **,55.50,**
12 d,Bürli Roger **,55.50,**
12 e,Wallimann Remo *,55.50,*
12 h,Betschart Patrick *,55.50,*
12 k,Achermann Christoph *,55.50,*
13 b,Gwerder Dario **,55.25,**
13 e,Gasser Stefan **,55.25,**
14 a,Zimmermann Martin **,55.00,**
14 d,Troxler Jonas *,55.00,*
14 g,Graber Michael *,55.00,*
14 j,Ulrich Marco *,55.00,*
Inner,weizer Schwingerverband,,Schwingerverband
12 f,Odermatt Andreas *,55.50,*
12 i,Widmer Adrian *,55.50,*
12 l,Arnold Raphael **,55.50,**
13 c,Gerber Peter *,55.25,*
13 f,Huber Alex *,55.25,*
14 b,Rohrer Marco **,55.00,**
14 e,Odermatt Christian **,55.00,**
14 h,Bucher Thomas *,55.00,*
14 k,Kennel Beat *,55.00,*
12 g,Leuppi Samir **,55.50,**
12 j,Bucher Christian *,55.50,*
13 a,Weber Ivo,55.25,Ivo
13 d,Rolli Martin **,55.25,**
13 g,Mehr Lars (2002),55.25,(2002)
14 c,Bucher Roland *,55.00,*
14 f,Heinzer Stefan **,55.00,**
14 i,Zürcher Ueli *,55.00,*
14 l,Gander Michael,55.00,Michael
14 m,Burch Jonas *,55.00,*
15 c,Schürpf Bruno *,54.75,*
15 f,Heiniger Marco *,54.75,*
15 i,Wyss Sven (2001) *,54.75,*
15 l,Schuler Philipp **,54.75,**
15 o,Kessler Joel *,54.75,*
16 a,Wyrsch Marco **,54.50,**
16 d,Suter Beat *,54.50,*
16 g,Herger Andreas,54.50,Andreas
Inner,weizer Schwingerverband,,Schwingerverband
15 a,Reichmuth Armin *,54.75,*
15 d,Schuler Alex ***,54.75,***
15 g,Binggeli Stefan **,54.75,**
15 j,Suppiger Thomas *,54.75,*
15 m,Lemmenmeier Lukas *,54.75,*
15 p,Kenel Franz-Toni *,54.75,*
16 b,Linggi Bruno **,54.50,**
16 e,Reichmuth Lukas *,54.50,*
16 h,Erb Roger **,54.50,**
15 b,Waser Reto *,54.75,*
15 e,Lussi Marco **,54.75,**
15 h,Betschart Rainer **,54.75,**
15 k,Schürpf Guido,54.75,Guido
15 n,Lagler Christian,54.75,Christian
15 q,Kaufmann Reto (2002) *,54.75,*
16 c,Betschart Daniel,54.50,Daniel
16 f,Kempf Damian,54.50,Damian
16 i,Bernet Christoph *,54.50,*
16 j,Reichmuth Roland *,54.50,*
17 c,Heinzer Stefan *,54.25,*
17 f,Betschart Remo **,54.25,**
17 i,Wyrsch Silvio *,54.25,*
17 l,Hess Michael *,54.25,*
17 o,Bättig Martin *,54.25,*
17 r,Lustenberger Marc (2003),54.25,(2003)
18 c,Zumstein Patrick,54.00,Patrick
18 f,Bürgi Tobias,54.00,Tobias
Inner,weizer Schwingerverband,,Schwingerverband
17 a,Streiﬀ Dominik *,54.25,*
17 d,Gwerder Christian **,54.25,**
17 g,Arnold Fabian *,54.25,*
17 j,Wandeler Roman (2002),54.25,(2002)
17 m,Fink Bruno *,54.25,*
17 p,Barmettler Peter *,54.25,*
