place,name,points,level
1,Walther Adrian **,58.75,**
4 a,Käser Remo ***,57.25,***
5 b,Leuppi Samir ***,57.00,***
5 e,Rohrer Ueli **,57.00,**
5 h,Wenger Kilian ***,57.00,***
6 a,Aeschbacher Matthias ***,56.75,***
7 a,Fankhauser Erich ***,56.50,***
8,Roschi Ruedi **,56.25,**
Berni,-Kantonaler Schwingerverband,,Schwingerverband
2,Staudenmann Fabian ***,57.75,***
4 b,von Weissenﬂuh Kilian ***,57.25,***
5 c,Orlik Curdin ***,57.00,***
5 f,Sempach Thomas ***,57.00,***
5 i,Burger Matthieu **,57.00,**
6 b,Iseli Marco **,56.75,**
7 b,Kämpf Bernhard ***,56.50,***
9 a,Roth Philipp ***,55.75,***
3,Gobeli Patrick **,57.50,**
5 a,Gnägi Florian ***,57.00,***
5 d,Anderegg Simon ***,57.00,***
5 g,Steﬀen Gustav **,57.00,**
5 j,Schlüchter Colin *,57.00,*
6 c,Moser Michael (2005) *,56.75,*
7 c,Thöni Reto *,56.50,*
9 b,Schwander Severin **,55.75,**
9 c,Studer Stefan **,55.75,**
9 f,Rüegsegger Christian *,55.75,*
10 b,Berger Lorenz **,55.50,**
10 e,Weyermann Florian **,55.50,**
10 h,Odermatt Adrian **,55.50,**
11 a,Hadorn Christian *,55.25,*
11 d,Steﬀen Valentin *,55.25,*
11 g,Wittwer Jan **,55.25,**
12 b,Scheidegger Marc,55.00,Marc
Berni,-Kantonaler Schwingerverband,,Schwingerverband
9 d,Collaud Romain **,55.75,**
9 g,Thöni Ivan *,55.75,*
10 c,Kropf Thomas **,55.50,**
10 f,Beer Peter *,55.50,*
10 i,Rychen Roger ***,55.50,***
11 b,Ruch Dominik,55.25,Dominik
11 e,Gäumann Stefan **,55.25,**
11 h,Staub Severin *,55.25,*
12 c,Gehrig Philipp **,55.00,**
9 e,Gäggeler Adrian *,55.75,*
10 a,Aebersold Adrian *,55.50,*
10 d,Räbmatter Patrick ***,55.50,***
10 g,Graf Simon,55.50,Simon
10 j,Zaugg Lars **,55.50,**
11 c,Schenk Thomas *,55.25,*
11 f,Steﬀen Konrad *,55.25,*
12 a,Blaser Roman *,55.00,*
12 d,Klopfenstein Jan,55.00,Jan
12 e,von Büren Stephan **,55.00,**
13 a,Nägeli Daniel *,54.75,*
13 d,Trittibach Silvan (2004),54.75,(2004)
14 c,Matthey Mickaël **,54.50,**
14 f,Wittwer Josias **,54.50,**
15 b,Aellen Florian *,54.25,*
15 e,Leuenberger Michael *,54.25,*
16 a,Ramseier Thomas *,54.00,*
16 d,Zürcher Remo *,54.00,*
Berni,-Kantonaler Schwingerverband,,Schwingerverband
12 f,Stucki Fabian (2005),55.00,(2005)
13 b,Galli Sandro *,54.75,*
14 a,Burger Etienne (2004) *,54.50,*
14 d,Mosimann Fabian,54.50,Fabian
