place,name,points,level
1,Schurtenberger Sven ***,57.75,***
3 a,Wicki Joel **,57.25,**
4,Ulrich Andreas ***,57.00,***
5 c,Gisler Bruno ***,56.75,***
7 b,Bieri Christoph ***,56.25,***
8 c,Nötzli Bruno ***,56.00,***
9 c,Arnold Raphael *,55.75,*
10 a,Nötzli Reto ***,55.50,***
Inner,weizer Schwingerverband,,Schwingerverband
2 a,Alpiger Nick ***,57.50,***
3 b,Schneider Mario **,57.25,**
5 a,Steinauer Adrian **,56.75,**
6,Linggi Bruno **,56.50,**
8 a,Suppiger René ***,56.00,***
9 a,Reichmuth Armin *,55.75,*
9 d,Studinger Stephan **,55.75,**
10 b,Thürig Mario ***,55.50,***
2 b,Bösch Daniel ***,57.50,***
3 c,Burkhalter Stefan ***,57.25,***
5 b,Betschart Remo **,56.75,**
7 a,Langenstein Philip *,56.25,*
8 b,Gwerder Carlo **,56.00,**
9 b,Egli Pirmin **,55.75,**
9 e,Schmid Dominik **,55.75,**
10 c,Fankhauser Marco **,55.50,**
10 d,Arnold Stefan **,55.50,**
10 g,Hersche Martin ***,55.50,***
11 c,Klausner Yanick **,55.25,**
11 f,Mathis Marcel ***,55.25,***
13 b,Forrer Arnold ***,54.75,***
13 e,Fankhauser Reto **,54.75,**
14 b,Bühler Hannes *,54.50,*
14 e,Grab Martin ***,54.50,***
15 c,Rohrer Ivan **,54.25,**
Inner,weizer Schwingerverband,,Schwingerverband
10 e,Muﬀ Armin **,55.50,**
11 a,Heiniger Marco *,55.25,*
11 d,Hauri Urs **,55.25,**
12,Oertig Dominik **,55.00,**
13 c,Rohrer Ueli (1999) *,54.75,*
13 f,Döbeli Andreas *,54.75,*
14 c,Schmid Samuel **,54.50,**
15 a,Schmid David ***,54.25,***
15 d,Murer Andy **,54.25,**
10 f,Kuster Marcel ***,55.50,***
11 b,Schuler Philipp **,55.25,**
11 e,Doppmann Urs *,55.25,*
13 a,Widmer Tobias **,54.75,**
13 d,Döbeli Lukas (2000) *,54.75,*
14 a,Lang Sven *,54.50,*
14 d,Kropf Marcel **,54.50,**
15 b,Schuler Alex ***,54.25,***
15 e,Kenel Franz-Toni *,54.25,*
15 f,Herger Matthias **,54.25,**
15 i,Gwerder Andreas **,54.25,**
16 c,Ulrich Marco *,54.00,*
17 a,Kennel Stefan **,53.75,**
18 b,Kessler Joel *,53.50,*
20 a,Gerber Peter *,53.00,*
21 b,Ammann Rico *,52.75,*
23,Reichmuth Marco **,46.25,**
24 c,Stoll Simon *,35.25,*
Inner,weizer Schwingerverband,,Schwingerverband
15 g,Egli Damian **,54.25,**
16 a,Oertig Adrian **,54.00,**
16 d,Rüegg Fabian *,54.00,*
17 b,Steiner Michael **,53.75,**
19 a,Schnurrenberger Roman **,53.25,**
20 b,Betschart Patrick (1999) *,53.00,*
21 c,Felder Martin *,52.75,*
24 a,Vestner Bruno *,35.25,*
25 a,Bürli Roger **,35.00,**
15 h,Bucher Christian *,54.25,*
16 b,Notz Beni ***,54.00,***
16 e,Gloggner Reto **,54.00,**
18 a,Odermatt Christian **,53.50,**
19 b,Mangold Michael *,53.25,*
21 a,Zimmermann Simon **,52.75,**
22,Bader Andreas **,52.50,**
24 b,Hügli Kaj *,35.25,*
25 b,Arnold Kornel *,35.00,*
25 c,Vogel Remo **,35.00,**
26 b,Dumelin David *,34.75,*
27 b,Kuster Thomas *,34.50,*
29,Heinzer Stefan *,27.00,*
* Kan,nal- bzw. Gauverbandskranzschwin,ger ** T,Gauverbandskranzschwin
Inner,weizer Schwingerverband,,Schwingerverband
25 d,Gwerder Andreas *,35.00,*
26 c,Brun Samuel (1999) **,34.75,**
28 a,Zbinden Marc *,34.25,*
30,Fässler Dominic **,26.00,**
lverb,dskranzschwinger *** Eidg. Kranzs,chwinge,Kranzs
26 a,Vonlaufen Lukas *,34.75,*
27 a,Leuthard Reto *,34.50,*
28 b,Betschart Silvan *,34.25,*
31,Scheuber Lutz **,8.50,**
