place,name,points,level
1,Kämpf Bernhard ***,57.75,***
2 c,Siegenthaler Matthias ***,57.25,***
3 b,Käser Remo **,57.00,**
5 a,Wenger Kilian ***,56.50,***
5 d,Laimbacher Philipp ***,56.50,***
6 b,Gnägi Florian ***,56.25,***
7 b,Anderegg Simon ***,56.00,***
8 b,Bieri Christoph ***,55.75,***
8 e,Räbmatter Patrick **,55.75,**
Berni,-kantonaler Schwingerverband,,Schwingerverband
2 a,von Ah Benji ***,57.25,***
2 d,Fankhauser Erich ***,57.25,***
4 a,Bächli Michael (1998) *,56.75,*
5 b,Gasser Stefan **,56.50,**
5 e,Gisler Bruno ***,56.50,***
6 c,Wicki Joel (1997) **,56.25,**
7 c,Lengacher Jonas **,56.00,**
8 c,Luginbühl Hanspeter **,55.75,**
8 f,Britschgi Melk **,55.75,**
2 b,Glarner Matthias ***,57.25,***
3 a,Sempach Thomas ***,57.00,***
4 b,Alpiger Nick **,56.75,**
5 c,Aeschbacher Matthias **,56.50,**
6 a,Stalder Remo ***,56.25,***
7 a,Waser Dominik *,56.00,*
8 a,Schmid David **,55.75,**
8 d,Roth Dominik *,55.75,*
9 a,Schuler Alex **,55.50,**
9 b,Scheuber Lutz **,55.50,**
9 e,Schuler Christian ***,55.50,***
9 h,Röthlisberger Simon *,55.50,*
10 c,Studinger Stephan **,55.25,**
11 b,Leuthard Reto *,55.00,*
11 e,Betschart Rainer **,55.00,**
12 c,Schütz Urs **,54.75,**
12 f,Mathis Marcel ***,54.75,***
12 i,Zurﬂuh Markus **,54.75,**
Berni,-kantonaler Schwingerverband,,Schwingerverband
9 c,Roschi Ruedi **,55.50,**
9 f,Kennel Stefan *,55.50,*
10 a,Stöckli Stefan **,55.25,**
10 d,Fankhauser Marco **,55.25,**
11 c,Henzer Andreas **,55.00,**
12 a,Steinauer Adrian **,54.75,**
12 d,Zimmermann Simon *,54.75,*
12 g,Heinzer Stefan *,54.75,*
13 a,Zenger Niklaus ***,54.50,***
9 d,Zaugg Thomas ***,55.50,***
9 g,von Büren Stephan *,55.50,*
10 b,Nötzli Bruno ***,55.25,***
11 a,Schelbert Ralf **,55.00,**
11 d,Gehrig Damian **,55.00,**
12 b,Odermatt Andreas *,54.75,*
12 e,Meuter Adrian **,54.75,**
12 h,Egli David *,54.75,*
13 b,Moser Michael *,54.50,*
13 c,Michel Jonas *,54.50,*
13 f,Erb Roger **,54.50,**
14 c,Wickli Beat **,54.25,**
14 f,Inderbitzin Daniel *,54.25,*
15 a,Voggensperger Janic (1998) *,54.00,*
15 d,Baumann Roger *,54.00,*
16 c,Zimmermann Martin **,53.75,**
17 c,Schärli Peter **,53.50,**
18 b,Fankhauser Reto *,53.25,*
Berni,-kantonaler Schwingerverband,,Schwingerverband
13 d,Brun Jonas **,54.50,**
14 a,Schenkel Adrian **,54.25,**
14 d,Rohrer Ivan *,54.25,*
14 g,Vieira Tiago **,54.25,**
15 b,Ramseier Fritz *,54.00,*
16 a,Schenk Thomas *,53.75,*
17 a,Steﬀen Konrad *,53.50,*
17 d,Gwerder Carlo **,53.50,**
18 c,Wyss Kilian **,53.25,**
13 e,Höﬂiger Andreas **,54.50,**
14 b,Lussi Marco *,54.25,*
14 e,Müller Michael **,54.25,**
14 h,Gäggeler Adrian *,54.25,*
15 c,Omlin Toni *,54.00,*
16 b,Gnägi Christian *,53.75,*
17 b,Schenkel Remo *,53.50,*
18 a,Wittwer Josias *,53.25,*
19 a,Studer Stefan **,53.00,**
19 b,Spichtig Markus *,53.00,*
21 b,Mösching Andy *,35.50,*
21 e,Blaser Roman *,35.50,*
21 h,Schuler Philipp **,35.50,**
21 k,Klausner Yanick **,35.50,**
22 c,Muﬀ Armin **,35.25,**
23 a,Stüdeli Thomas **,35.00,**
24 a,Zürcher Remo *,34.75,*
24 d,Föhn Pirmin *,34.75,*
24 g,Zenger Michael *,34.75,*
25 b,Diener Pirmin *,34.50,*
25 e,Gander Adrian *,34.50,*
Berni,-kantonaler Schwingerverband,,Schwingerverband
20,Suter David **,52.75,**
21 c,Imfeld Peter ***,35.50,***
21 f,von Känel Daniel *,35.50,*
21 i,Schenk Patrick **,35.50,**
22 a,Zürcher Kurt *,35.25,*
22 d,Kocher Remo **,35.25,**
23 b,Kämpf Alexander **,35.00,**
24 b,Kämpf Marcel *,34.75,*
24 e,Elsener Adrian **,34.75,**
24 h,Leuenberger Michael **,34.75,**
25 c,Brönnimann Ronny *,34.50,*
26 a,Hess Dominik *,34.25,*
21 a,Villiger Cyrill *,35.50,*
21 d,Gehrig Philipp *,35.50,*
21 g,Strebel Joel (1997) *,35.50,*
21 j,Reichmuth Armin *,35.50,*
22 b,Urfer Simon *,35.25,*
22 e,Blatter Lorenz *,35.25,*
23 c,Marti Fabian **,35.00,**
24 c,Imhof Andi ***,34.75,***
24 f,Bachmann Roger *,34.75,*
25 a,Kramer Franz *,34.50,*
25 d,Waldner Patrick **,34.50,**
26 b,Graber Bruno **,34.25,**
26 c,Burger Fredy *,34.25,*
* Kan,nal- bzw. Gauverbandskranzschwin,ger ** T,Gauverbandskranzschwin
Berni,-kantonaler Schwingerverband,,Schwingerverband
26 d,Briker Michael *,34.25,*
lverb,dskranzschwinger *** Eidg. Kranzs,chwinge,Kranzs
26 e,Binggeli Dominik *,34.25,*
