place,name,points,level
1,Nötzli Bruno ***,58.50,***
3 b,Suppiger Thomas,57.50,Thomas
4 b,Käser Remo ***,57.25,***
4 e,Egli David *,57.25,*
5 b,Suppiger Werner **,57.00,**
5 e,Reichmuth Marco **,57.00,**
6 c,Egli Pirmin **,56.75,**
6 f,Egli Damian **,56.75,**
2,Müller Michael **,57.75,**
3 c,Gloggner Philipp ***,57.50,***
4 c,Fankhauser Erich ***,57.25,***
4 f,Bättig Martin *,57.25,*
5 c,Schurtenberger Sven ***,57.00,***
6 a,Fankhauser Marco **,56.75,**
6 d,Graber Michael *,56.75,*
6 g,Doppmann Urs *,56.75,*
3 a,Wicki Joel **,57.50,**
4 a,Steinauer Adrian **,57.25,**
4 d,Gloggner Reto **,57.25,**
5 a,Ulrich Andreas ***,57.00,***
5 d,Suppiger René ***,57.00,***
6 b,Felder Seppi *,56.75,*
6 e,Egli Manuel *,56.75,*
6 h,Blaser Theo *,56.75,*
6 i,Portmann Josef *,56.75,*
6 l,Ambühl Joel *,56.75,*
7 c,Felder Martin *,56.50,*
7 f,Lang Sven *,56.50,*
7 i,Zurﬂuh Roman *,56.50,*
8 b,Linggi Bruno **,56.25,**
8 e,Thierstein Marco,56.25,Marco
8 h,Wyrsch Silvio,56.25,Silvio
9 c,Kennel Stefan **,56.00,**
6 j,Fink Bruno *,56.75,*
7 a,Elsener Adrian **,56.50,**
7 d,Stadelmann Ron,56.50,Ron
7 g,Gerber Peter,56.50,Peter
7 j,Imhof Andi ***,56.50,***
8 c,Zimmermann Martin **,56.25,**
8 f,Imboden Roger **,56.25,**
9 a,Binggeli Stefan *,56.00,*
9 d,Kälin Roland **,56.00,**
6 k,Fankhauser Reto **,56.75,**
7 b,Herger Matthias **,56.50,**
7 e,Schöpfer Ronny (1999),56.50,(1999)
7 h,Dober Adrian **,56.50,**
8 a,Muﬀ Armin **,56.25,**
8 d,Vogel Remo **,56.25,**
8 g,Dissler Philipp,56.25,Philipp
9 b,Muﬀ André *,56.00,*
9 e,Gwerder Dario **,56.00,**
9 f,Achermann Christoph *,56.00,*
10 c,Stöckli Damian,55.75,Damian
10 f,Bissig Fabian,55.75,Fabian
10 i,Scheuber Lutz **,55.75,**
11 c,Schmid Köbi,55.50,Köbi
11 f,Reichmuth Armin *,55.50,*
11 i,Gmür Pirmin *,55.50,*
11 l,Zgraggen Fabian *,55.50,*
11 o,Bürgler André *,55.50,*
10 a,Käslin Ruedi *,55.75,*
10 d,Schmid Simon (2000),55.75,(2000)
10 g,Schärli Reto,55.75,Reto
11 a,Schürpf Bruno,55.50,Bruno
11 d,Scherer Niklaus,55.50,Niklaus
11 g,Ming Christian 2,55.50,2
11 j,Fessler Linus *,55.50,*
11 m,Schelbert Roman,55.50,Roman
12 a,Wicki Kevin,55.25,Kevin
10 b,Brun Jonas **,55.75,**
10 e,Reichmuth Roland,55.75,Roland
10 h,Briker Michael *,55.75,*
11 b,Schuler Daniel,55.50,Daniel
11 e,Rüttimann Daniel,55.50,Daniel
11 h,Küttel Samuel,55.50,Samuel
11 k,Eﬃnger Peter,55.50,Peter
11 n,Huber Alex *,55.50,*
12 b,von Büren Stephan *,55.25,*
12 c,Schmidiger Marco,55.25,Marco
12 f,Ottiger Lukas,55.25,Lukas
12 i,Fallegger Franco (1999),55.25,(1999)
12 l,Troxler Jonas (2000),55.25,(2000)
12 o,Heiniger Luca,55.25,Luca
12 r,Gisler Stefan,55.25,Stefan
13 c,Zürcher Ueli (2000),55.00,(2000)
13 f,Muﬀ Reto,55.00,Reto
13 i,Durrer Nando (1999),55.00,(1999)
12 d,Portmann Stefan,55.25,Stefan
12 g,Odermatt Christian **,55.25,**
12 j,Eiholzer Roy,55.25,Roy
12 m,Odermatt Sepp,55.25,Sepp
12 p,Gwerder Beni,55.25,Beni
13 a,Bühler Patrice,55.00,Patrice
13 d,Vogel Manuel,55.00,Manuel
13 g,Hegner Ueli (1999) *,55.00,*
13 j,Doppmann Ueli,55.00,Ueli
12 e,Portmann Roger,55.25,Roger
12 h,Hasler Florian **,55.25,**
12 k,Arnold Raphael *,55.25,*
12 n,Kurmann Jvo,55.25,Jvo
12 q,Blatter Remo (2000),55.25,(2000)
13 b,Bucher Thomas,55.00,Thomas
13 e,Thalmann Adrian (1999),55.00,(1999)
13 h,Gassmann Fabian **,55.00,**
13 k,Bühler Kilian (2000),55.00,(2000)
13 l,Hurschler Thomas **,55.00,**
13 o,Bernet Christoph *,55.00,*
14 c,Hurschler Adrian,54.75,Adrian
14 f,Betschart Daniel,54.75,Daniel
14 i,Ming Hannes,54.75,Hannes
14 l,Bieri Elias,54.75,Elias
14 o,Ulrich Pascal (1999),54.75,(1999)
14 r,Fässler Dominic *,54.75,*
14 u,Stucki Christian,54.75,Christian
13 m,Ettlin Stefan *,55.00,*
14 a,Zimmermann Reto,54.75,Reto
14 d,Fallegger Joel,54.75,Joel
14 g,Bär Leo,54.75,Leo
14 j,Martin Robin *,54.75,*
14 m,Wyss Sven (2001),54.75,(2001)
14 p,Schaller Noah (2000),54.75,(2000)
14 s,Elmiger Matthias,54.75,Matthias
15 a,Schärli Lukas **,54.50,**
13 n,Fellmann Simon,55.00,Simon
14 b,Suter David **,54.75,**
14 e,Schnider Markus *,54.75,*
14 h,Murer Andy *,54.75,*
14 k,Bürli Roger **,54.75,**
14 n,Walker Roger,54.75,Roger
14 q,Hirsiger Alexander,54.75,Alexander
14 t,Weber Marc (1999),54.75,(1999)
15 b,Betschart Patrick (1999) *,54.50,*
15 c,Barmet Sven,54.50,Sven
