result,name,level,points,placed_fighter,fight_round
+,Imhof Andi ***,***,10.00,Alpiger Nick ***,1
+,Egli Damian **,**,9.75,Alpiger Nick ***,2
+,Nötzli Reto ***,***,9.75,Alpiger Nick ***,3
-,Schuler Christian ***,***,9.00,Alpiger Nick ***,4
+,von Ah Benji ***,***,10.00,Alpiger Nick ***,5
+,Schuler Christian ***,***,10.00,Alpiger Nick ***,6
+,Leuppi Samir **,**,10.00,Schurtenberger Sven ***,1
+,Steinauer Adrian **,**,10.00,Schurtenberger Sven ***,2
o,Schuler Christian ***,***,8.50,Schurtenberger Sven ***,3
+,Rolli Martin **,**,10.00,Schurtenberger Sven ***,4
+,Ettlin Stefan **,**,10.00,Schurtenberger Sven ***,5
-,von Ah Benji ***,***,9.00,Schurtenberger Sven ***,6
-,Orlik Armon ***,***,8.75,Reichmuth Pirmin ***,1
+,Kempf Elias **,**,10.00,Reichmuth Pirmin ***,2
o,von Ah Benji ***,***,8.50,Reichmuth Pirmin ***,3
+,Brun Jonas **,**,10.00,Reichmuth Pirmin ***,4
+,Herger Matthias **,**,10.00,Reichmuth Pirmin ***,5
+,Suppiger Werner **,**,10.00,Reichmuth Pirmin ***,6
+,Erb Roger **,**,10.00,von Ah Benji ***,1
+,Bürli Roger **,**,10.00,von Ah Benji ***,2
+,Reichmuth Pirmin ***,***,9.75,von Ah Benji ***,3
+,Fankhauser Reto **,**,9.75,von Ah Benji ***,4
o,Alpiger Nick ***,***,8.75,von Ah Benji ***,5
-,Schurtenberger Sven ***,***,8.75,von Ah Benji ***,6
+,Rolli Martin **,**,9.75,Bieri Marcel **,1
o,Gloggner Philipp ***,***,8.50,Bieri Marcel **,2
+,Graber Michael *,*,10.00,Bieri Marcel **,3
+,Briker Michael *,*,10.00,Bieri Marcel **,4
o,Orlik Armon ***,***,8.75,Bieri Marcel **,5
+,Scheuber Lutz **,**,10.00,Bieri Marcel **,6
-,Schuler Alex ***,***,8.75,Fankhauser Erich ***,1
+,Briker Michael *,*,10.00,Fankhauser Erich ***,2
+,Arnold Stefan **,**,9.75,Fankhauser Erich ***,3
+,Schuler Philipp **,**,9.75,Fankhauser Erich ***,4
+,Rohrer Ueli *,*,9.75,Fankhauser Erich ***,5
o,Orlik Armon ***,***,8.75,Fankhauser Erich ***,6
-,Gapany Benjamin **,**,8.75,Mathis Marcel ***,1
+,Villiger Cyrill *,*,10.00,Mathis Marcel ***,2
-,Gwerder Michael **,**,9.00,Mathis Marcel ***,3
-,Waser Dominik **,**,9.00,Mathis Marcel ***,4
+,Betschart Patrick *,*,10.00,Mathis Marcel ***,5
+,Zürcher Ueli *,*,10.00,Mathis Marcel ***,6
-,von Weissenﬂuh Kilian **,**,8.75,Wicki Joel **,1
+,Nietlispach Pascal **,**,10.00,Wicki Joel **,2
+,Müllestein Mike ***,***,10.00,Wicki Joel **,3
+,Odermatt Andreas *,*,9.75,Wicki Joel **,4
+,Nötzli Reto ***,***,9.75,Wicki Joel **,5
+,Gwerder Michael **,**,10.00,Wicki Joel **,6
+,Suppiger René ***,***,10.00,Schuler Christian ***,1
+,Fankhauser Marco **,**,9.75,Schuler Christian ***,2
+,Schurtenberger Sven ***,***,10.00,Schuler Christian ***,3
-,Alpiger Nick ***,***,9.00,Schuler Christian ***,4
+,Ambühl Joel **,**,9.75,Schuler Christian ***,5
o,Alpiger Nick ***,***,8.75,Schuler Christian ***,6
o,Alpiger Nick ***,***,8.50,Imhof Andi ***,1
+,Würsch Lars *,*,10.00,Imhof Andi ***,2
+,Ulrich Marco *,*,10.00,Imhof Andi ***,3
-,Rohrer Ivan **,**,9.00,Imhof Andi ***,4
+,Felder Martin *,*,10.00,Imhof Andi ***,5
+,Egli Damian **,**,9.75,Imhof Andi ***,6
o,Würsch Lars *,*,8.75,Lang Sven *,1
-,Wyrsch Marco **,**,8.75,Lang Sven *,2
+,Käslin Benno *,*,10.00,Lang Sven *,3
+,Heinzer Stefan **,**,9.75,Lang Sven *,4
+,Lustenberger Florian (2002),(2002),10.00,Lang Sven *,5
+,Odermatt Andreas *,*,9.75,Lang Sven *,6
-,Wicki Joel **,**,8.75,von Weissenﬂuh Kilian **,1
-,Arnold Raphael **,**,8.75,von Weissenﬂuh Kilian **,2
+,Kenel Franz-Toni *,*,9.75,von Weissenﬂuh Kilian **,3
+,Gwerder Dario **,**,10.00,von Weissenﬂuh Kilian **,4
+,Betschart Rainer **,**,9.75,von Weissenﬂuh Kilian **,5
+,Schuler Alex ***,***,9.75,von Weissenﬂuh Kilian **,6
+,Scheuber Lutz **,**,9.75,Nötzli Reto ***,1
+,Ettlin Stefan **,**,10.00,Nötzli Reto ***,2
o,Alpiger Nick ***,***,8.50,Nötzli Reto ***,3
+,Gasser Stefan **,**,10.00,Nötzli Reto ***,4
o,Wicki Joel **,**,8.50,Nötzli Reto ***,5
+,Graber Michael *,*,10.00,Nötzli Reto ***,6
o,Ambühl Joel **,**,8.50,Herger Matthias **,1
+,Gerber Peter *,*,10.00,Herger Matthias **,2
+,Wallimann Remo *,*,9.75,Herger Matthias **,3
+,Burch Jonas *,*,9.75,Herger Matthias **,4
o,Reichmuth Pirmin ***,***,8.50,Herger Matthias **,5
+,Rolli Martin **,**,10.00,Herger Matthias **,6
©,2021 Eidgenössischer Schwingerverba,Schwingerverba,nd,Herger Matthias **,7
-,Reichmuth Pirmin ***,***,8.75,Orlik Armon ***,1
+,Ambühl Joel **,**,10.00,Orlik Armon ***,2
+,Gloggner Philipp ***,***,9.75,Orlik Armon ***,3
