4718-2021-08-08_Zuercher_Kantonalschwingfest2-ST

1a;Schmid Dominik;**;;;;;;;;;109.25
-;;;Schnurrenberger Roman;**;;;;;;;8.75
o;;;Winzeler Simon;;;;;;;;8.5
+;1;17.25;Flück Bruno;;19;54.0;2;10.0;1;-7.25;10.0
+;1;17.25;Bernhardsgrütter Stefan (2005);;26;52.25;6;8.5;5;-8.75;9.75
+;1;37.0;Arztmann Beda;**;6;57.25;2;20.0;1;-17.0;9.75
o;1;37.0;Landolt Reto;*;12;55.75;8;18.25;7;-18.75;8.5
o;1;55.25;Kindlimann Fabian;***;5;57.5;5;28.75;4;-26.5;8.5
+;1;55.25;Mathys Stefan (2005);;29;42.75;16;25.75;15;-29.5;9.75
+;1;73.5;Ziegler Andreas;;11;56.0;7;37.75;6;-35.75;10.0
o;1;73.5;Ulrich Pascal;;15;55.0;12;36.5;11;-37.0;8.5
o;1;92.0;Oettli Silvio;*;9;56.5;10;46.75;9;-45.25;8.75
o;1;92.0;Joos Enrico (2003);*;16;54.75;18;44.75;17;-47.25;8.5

2a;Schneider Domenic;***;;;;;;;;;58.25
-;;;Nötzli Reto;***;;;;;;;8.75
+;5;8.75;Landolt Reto;*;12;55.75;3;9.75;-2;1.0;9.75
+;7;18.5;Leuppi Karim;*;7;57.0;3;19.75;-4;1.25;9.75
+;7;28.25;Lehmann Philipp;*;4;57.75;3;29.5;-4;1.25;10.0
+;5;38.25;Wey Nicola;*;8;56.75;4;38.5;-1;0.25;10.0
+;4;48.25;Good Marco;*;9;56.5;5;48.0;1;-0.25;10.0

3a;Hegner Ueli;*;;;;;;;;;58.0
+;;;Schmidlin Tobias;*;;;;;;;10.0
o;2;10.0;Orlik Armon;***;4;57.75;5;8.75;3;-1.25;8.5
+;7;18.5;Vetterli Sven (2003);;20;53.75;7;18.5;0;0.0;10.0
+;6;28.5;Kolb This (2003);*;9;56.5;7;28.25;1;-0.25;9.75
+;5;38.25;Wettstein Daniel;*;12;55.75;5;38.25;0;0.0;10.0
+;4;48.25;Rychen Roger;***;7;57.0;3;48.5;-1;0.25;9.75

4a;Lehmann Philipp;*;;;;;;;;;57.75
+;;;Joos Enrico (2003);*;;;;;;;9.75
+;3;9.75;Kurmann Patrick (2003);;11;56.0;2;10.0;-1;0.25;10.0
+;3;19.75;Battaglia Ursin;**;13;55.5;7;18.5;4;-1.25;9.75
o;3;29.5;Schneider Domenic;***;2;58.25;7;28.25;4;-1.25;8.5
+;6;38.0;Odermatt Gian Maria (2004);*;13;55.5;5;38.25;-1;0.25;10.0
+;5;48.0;Schiess Christian;;14;55.25;10;46.75;5;-1.25;9.75

